element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
Cr,I,5353.3853,4.6164,-0.945,VALD3,,7.18,-6.13,-7.79,0.03,True,3,
Ni,I,5353.396,1.9508,-2.977,VALD3,,8.26,-6.12,-7.8,0.499,True,2,
V,I,5353.424,2.3654,-0.08,VALD3,,7.82,-6.08,-7.75,0.184,True,3,
Co,I,5353.4982,4.146,0.637,VALD3,,8.37,-4.71,-7.51,0.388,True,3,
Fe,I,5353.9612,5.0095,-1.752,VALD3,,8.76,-4.56,-7.5,0.144,False,1,
Fe,I,5354.1304,5.0638,-2.737,VALD3,,8.81,-3.78,-7.12,0.017,False,1,
Sc,I,5355.793,1.9536,-0.3,VALD3,,7.84,-5.32,-7.56,0.068,False,3,
Sc,I,5356.097,1.865,0.09,VALD3,,8.19,-5.82,-7.71,0.174,False,3,
Sc,II,5357.199,1.507,-2.111,VALD3,,8.13,-6.59,-7.83,0.06,False,3,
Co,I,5358.0109,3.5299,-1.34,VALD3,,8.22,-5.96,-7.73,0.055,False,3,
Fe,I,5358.1129,3.3009,-3.671,VALD3,,7.81,-5.96,-7.8,0.138,False,1,
Fe,I,5358.4403,5.0331,-2.354,VALD3,,8.82,-3.39,-7.14,0.043,False,1,
Co,I,5358.9197,4.146,-0.466,VALD3,,8.36,-4.58,-7.51,0.082,True,3,
Cr,I,5358.9636,4.5319,-1.058,VALD3,,7.96,-6.07,-7.75,0.028,True,3,
Co,I,5359.1995,4.1494,0.244,VALD3,,8.35,-4.77,-7.51,0.259,False,3,
K,I,5359.573,1.6171,-1.92,VALD3,,7.59,-3.39,-6.99,0.028,False,3,
Ni,I,5359.8322,3.7963,-3.081,VALD3,,8.27,-4.37,-7.51,0.014,False,2,
Fe,I,5361.5155,4.9556,-1.985,VALD3,,8.74,-4.14,-7.38,0.106,False,1,
Fe,I,5361.6248,4.4153,-1.43,VALD3,,8.33,-4.39,-7.152,0.442,True,1,
Ti,I,5361.7112,0.836,-3.142,VALD3,,7.95,-6.08,-7.75,0.103,True,3,
Ti,I,5361.716,0.836,-4.139,VALD3,,7.95,-6.08,-7.75,0.012,True,3,
Ti,I,5361.7213,0.836,-4.094,VALD3,,7.95,-6.08,-7.75,0.013,True,3,
Fe,I,5362.2785,5.0703,-2.728,VALD3,,7.91,-3.65,-7.12,0.018,False,1,
Co,I,5362.7798,4.232,0.404,VALD3,,8.32,-4.83,-7.51,0.281,True,3,
Fe,II,5362.8613,3.1995,-2.616,VALD3,,8.56,-6.53,-7.878,0.403,True,1,
Cr,I,5362.9812,3.8446,-2.095,VALD3,,7.81,-6.15,-7.78,0.015,False,3,
Fe,I,5364.1167,4.4346,-1.805,VALD3,,8.11,-4.92,-7.36,0.321,False,1,
Mn,I,5364.469,2.8884,-2.5,VALD3,,7.92,-6.13,-7.77,0.121,False,3,
Co,I,5364.8148,3.7745,-1.109,VALD3,,8.07,-5.57,-7.55,0.051,True,3,
Fe,I,5364.8703,4.4456,0.228,VALD3,,8.33,-4.66,-7.136,0.741,True,1,
Fe,I,5365.1931,5.0638,-1.955,VALD3,,8.8,-3.8,-7.14,0.09,False,1,
Fe,I,5365.3555,4.7331,-2.488,VALD3,,8.26,-4.32,-7.33,0.065,True,1,
Fe,I,5365.3984,3.5732,-1.02,VALD3,,7.25,-6.25,-7.82,0.73,True,1,
Fe,I,5365.6216,5.0674,-2.242,VALD3,,8.15,-3.43,-7.17,0.051,True,1,
Cr,I,5365.7065,4.4016,-1.168,VALD3,,8.15,-4.7,-7.54,0.03,True,3,
Co,I,5366.172,4.232,-1.29,VALD3,,8.35,-5.13,-7.54,0.011,False,3,
Fe,I,5366.42,5.0674,-1.777,VALD3,,8.61,-5.23,-7.49,0.124,False,1,
Ti,I,5366.6293,0.8181,-3.745,VALD3,,7.99,-6.08,-7.75,0.03,True,3,
Ti,I,5366.6334,0.8181,-3.727,VALD3,,7.99,-6.08,-7.75,0.031,True,3,
Ti,I,5366.6383,0.8181,-2.592,VALD3,,7.99,-6.08,-7.75,0.281,True,3,
Ti,I,5366.6429,0.8181,-3.589,VALD3,,7.99,-6.08,-7.75,0.042,True,3,
Ti,I,5366.648,0.8181,-3.544,VALD3,,7.99,-6.08,-7.75,0.047,True,3,
Cr,I,5367.3411,3.0106,-1.53,VALD3,,8.28,-5.97,-7.73,0.271,False,3,
Fe,I,5367.4653,4.4153,0.443,VALD3,,8.32,-4.53,-7.153,0.772,False,1,
Cr,I,5367.5653,4.4105,-1.384,VALD3,,8.17,-4.78,-7.4,0.018,False,3,
Cr,I,5367.7895,3.847,-1.82,VALD3,,7.73,-6.16,-7.78,0.027,False,3,
Fe,I,5368.4358,4.9556,-2.458,VALD3,,8.68,-3.62,-7.28,0.041,False,1,
Cr,I,5368.5361,3.847,-1.265,VALD3,,7.81,-6.16,-7.78,0.089,False,3,
Co,I,5368.8887,3.5299,-0.785,VALD3,,8.15,-5.96,-7.73,0.158,False,3,
Cr,II,5369.356,3.8707,-3.045,VALD3,,8.39,-6.5,-7.862,0.018,False,3,
Fe,I,5369.5638,5.0856,-2.854,VALD3,,8.81,-3.56,-7.25,0.013,True,1,
Fe,I,5369.5713,5.6925,-0.432,VALD3,,8.31,-4.0,-7.14,0.303,True,1,
Co,I,5369.5848,4.2591,-1.174,VALD3,,7.92,-4.72,-7.45,0.014,True,3,
Co,I,5369.5889,1.7403,-1.65,VALD3,,8.12,-6.16,-7.665,0.557,True,3,
Fe,I,5369.9607,4.3714,0.536,VALD3,,8.32,-4.36,-7.179,0.788,False,1,
Co,I,5370.3432,3.7323,-1.277,VALD3,,7.98,-5.43,-7.55,0.039,False,3,
Fe,I,5370.9851,4.2833,-3.377,VALD3,,8.38,-4.69,-7.52,0.028,False,1,
Ni,I,5371.3281,4.4187,-2.343,VALD3,,8.23,-4.69,-7.5,0.016,True,2,
Ni,I,5371.3287,4.4187,-1.749,VALD3,,8.23,-4.69,-7.5,0.058,True,2,
Ni,I,5371.3292,4.4187,-2.253,VALD3,,8.23,-4.69,-7.5,0.02,True,2,
Ni,I,5371.3297,4.4187,-0.891,VALD3,,8.23,-4.69,-7.5,0.246,True,2,
Ni,I,5371.3306,4.4187,-0.477,VALD3,,8.23,-4.69,-7.5,0.374,True,2,
Fe,I,5371.4359,4.4346,-1.186,VALD3,,8.24,-4.7,-7.46,0.497,True,1,
Fe,I,5371.489,0.9582,-1.645,VALD3,,7.16,-6.22,-7.753,0.915,True,1,
Fe,I,5372.0071,3.6398,-4.158,VALD3,,8.6,-5.56,-7.64,0.023,True,1,
Fe,I,5372.0187,5.0331,-2.255,VALD3,,8.83,-3.77,-7.22,0.053,True,1,
V,I,5372.627,0.3006,-3.75,VALD3,,7.14,-6.16,-7.718,0.011,True,3,
Fe,I,5372.6501,5.3516,-2.257,VALD3,,8.24,-2.63,-6.96,0.025,True,1,
Co,I,5372.7866,4.1489,-1.138,VALD3,,8.03,-4.55,-7.51,0.019,False,3,
Ti,I,5373.1511,3.3343,-0.894,VALD3,,8.12,-5.03,-7.45,0.032,False,3,
Ti,I,5373.5433,3.3508,-0.762,VALD3,,8.13,-5.06,-7.45,0.041,True,3,
Cr,I,5373.5594,3.0133,-2.476,VALD3,,8.28,-5.97,-7.73,0.049,True,3,
Cr,I,5373.7016,3.8496,-1.106,VALD3,,7.73,-6.15,-7.78,0.119,True,3,
Fe,I,5373.7082,4.4733,-0.86,VALD3,,8.13,-4.97,-7.123,0.555,True,1,
Co,I,5373.95,4.1494,-0.847,VALD3,,8.34,-4.55,-7.51,0.037,False,3,
Fe,I,5374.145,5.0331,-2.727,VALD3,,8.81,-3.95,-7.28,0.019,False,1,
Mn,I,5374.396,5.3845,-0.205,VALD3,,8.11,-4.78,-7.55,0.049,False,3,
Fe,I,5374.7702,3.5732,-3.388,VALD3,,7.85,-5.76,-7.8,0.133,True,1,
Ti,I,5374.8101,3.3232,-1.014,VALD3,,8.1,-5.01,-7.45,0.025,True,3,
Fe,I,5374.88,4.988,-3.025,VALD3,,8.73,-4.16,-7.31,0.011,True,1,
Mn,I,5375.3005,6.2109,0.052,VALD3,,7.81,-5.39,-7.55,0.012,True,3,
Sc,I,5375.373,1.9691,-0.05,VALD3,,7.84,-5.31,-7.56,0.109,True,3,
Ni,I,5375.4341,4.4187,-2.548,VALD3,,8.23,-4.82,-7.52,0.01,True,2,
Fe,I,5375.7321,3.3009,-4.845,VALD3,,7.78,-6.22,-7.8,0.012,False,1,
Fe,I,5376.2073,2.7275,-5.077,VALD3,,8.78,-5.8,-7.67,0.028,False,1,
Fe,I,5376.3603,3.6416,-4.396,VALD3,,8.6,-5.56,-7.64,0.013,False,1,
Fe,II,5376.4658,0.3865,-7.901,VALD3,,-0.29,-6.53,-7.94,0.011,False,1,
Ti,I,5376.5991,0.0,-3.995,VALD3,,6.37,-6.11,-7.77,0.128,False,3,
Fe,I,5376.8299,4.2944,-2.31,VALD3,,8.26,-5.8,-7.529,0.208,True,1,
Fe,I,5376.8889,4.4456,-2.961,VALD3,,8.32,-4.76,-7.51,0.046,True,1,
Fe,I,5377.0474,3.5465,-3.439,VALD3,,7.54,-6.1,-7.81,0.128,False,1,
Mn,I,5377.6073,3.8437,-0.166,VALD3,,7.9,-5.39,-7.59,0.503,False,3,
Co,I,5377.7395,4.1751,-0.688,VALD3,,8.41,-4.82,-7.5,0.048,False,3,
Fe,I,5378.236,5.0331,-1.517,VALD3,,8.81,-3.65,-7.14,0.198,True,1,
Co,I,5378.2536,4.0251,-1.054,VALD3,,8.26,-4.5,-7.51,0.031,True,3,
Fe,I,5378.956,5.0203,-2.071,VALD3,,8.76,-4.56,-7.5,0.078,False,1,
Fe,I,5379.5734,3.6946,-1.514,VALD3,,7.85,-6.13,-7.575,0.615,False,1,
C,I,5380.337,7.685,-1.616,NIST,B,7.95,-5.7,-7.7,0.007,False,1,High excitation (7.685 eV); sensitive to Teff errors ±50 K
Y,I,5380.631,1.9003,-0.054,VALD3,,8.21,-5.62,-7.68,0.021,True,3,
Cr,I,5380.7281,4.4161,-1.156,VALD3,,8.17,-4.78,-7.4,0.03,True,3,
Fe,I,5380.8975,6.0887,-1.491,VALD3,,8.25,-4.84,-7.51,0.024,False,1,
Ti,II,5381.0216,1.5658,-1.97,VALD3,,8.15,-6.59,-7.85,0.511,True,3,
Co,I,5381.1133,1.9557,-2.37,VALD3,,7.2,-6.23,-7.706,0.213,True,3,
V,I,5381.6894,3.2831,-0.372,VALD3,,8.22,-5.81,-7.43,0.012,True,3,
Co,I,5381.7703,4.2398,0.019,VALD3,,8.43,-4.71,-7.51,0.162,True,3,
Fe,I,5382.2631,5.6693,-0.252,VALD3,,8.33,-4.39,-7.39,0.362,True,1,
Ca,I,5382.3309,4.43,-0.759,VALD3,,7.99,-4.81,-7.35,0.17,True,2,
Ti,I,5382.9132,1.8732,-2.05,VALD3,,7.54,-6.06,-7.77,0.087,False,3,
Fe,I,5383.368,4.3125,0.645,VALD3,,8.3,-5.01,-7.219,0.808,True,1,
Co,I,5383.4071,4.1489,-0.682,VALD3,,8.04,-4.32,-7.51,0.052,True,3,
V,I,5383.408,2.5824,-0.31,VALD3,,7.95,-4.98,-7.52,0.075,True,3,
Fe,I,5384.2143,3.6537,-4.385,VALD3,,7.93,-5.31,-7.55,0.014,False,1,
Ti,I,5384.6204,0.8259,-4.055,VALD3,,7.99,-6.08,-7.75,0.015,True,3,
Ti,I,5384.6246,0.8259,-4.037,VALD3,,7.99,-6.08,-7.75,0.015,True,3,
Ti,I,5384.6295,0.8259,-2.902,VALD3,,7.99,-6.08,-7.75,0.166,True,3,
Ti,I,5384.6341,0.8259,-3.899,VALD3,,7.99,-6.08,-7.75,0.021,True,3,
Ti,I,5384.6393,0.8259,-3.854,VALD3,,7.99,-6.08,-7.75,0.023,True,3,
V,I,5385.1334,2.6077,-0.14,VALD3,,7.95,-5.26,-7.52,0.1,False,3,
Cr,I,5385.2796,3.8446,-1.571,VALD3,,7.78,-6.15,-7.79,0.047,False,3,
V,I,5385.4989,2.3792,-1.302,VALD3,,7.82,-6.08,-7.75,0.014,True,3,
Fe,I,5385.5753,3.6946,-2.97,VALD3,,7.0,-6.16,-7.532,0.212,True,1,
Fe,I,5386.0752,5.0095,-1.999,VALD3,,8.77,-4.71,-7.47,0.092,False,1,
Fe,I,5386.3328,4.1544,-1.77,VALD3,,8.45,-4.47,-7.172,0.431,True,1,
Ni,I,5386.3564,3.941,-2.653,VALD3,,8.14,-5.44,-7.59,0.025,True,2,
Fe,I,5386.9601,3.6416,-2.789,VALD3,,7.91,-5.71,-7.78,0.292,True,1,
Cr,I,5386.9673,3.3694,-0.835,VALD3,,7.86,-5.96,-7.76,0.374,True,3,
Cr,I,5387.154,4.4189,-1.483,VALD3,,8.17,-4.78,-7.4,0.014,False,3,
Fe,I,5387.4804,4.1426,-2.034,VALD3,,8.1,-5.66,-7.7,0.354,True,1,
Cr,I,5387.5619,3.3678,-0.87,VALD3,,7.8,-6.12,-7.77,0.362,True,3,
V,I,5387.6263,1.9307,-1.407,VALD3,,7.05,-6.08,-7.79,0.035,True,3,
Cr,I,5387.8441,2.9872,-3.198,VALD3,,8.32,-5.94,-7.72,0.01,False,3,
Fe,I,5387.9716,4.9913,-2.492,VALD3,,8.88,-4.21,-7.35,0.035,False,1,
V,I,5388.2826,2.565,-0.494,VALD3,,7.95,-4.79,-7.52,0.053,True,3,
Ni,I,5388.331,1.9354,-4.949,VALD3,,8.07,-6.16,-7.81,0.021,True,2,
Ni,I,5388.339,1.9354,-4.091,VALD3,,8.07,-6.16,-7.81,0.126,True,2,
Ni,I,5388.348,1.9354,-3.677,VALD3,,8.07,-6.16,-7.81,0.251,True,2,
Mn,I,5388.5027,3.3725,-1.69,VALD3,,7.88,-5.92,-7.531,0.192,False,3,
Ti,I,5389.1555,3.5827,0.239,VALD3,,8.76,-5.12,-7.66,0.172,True,3,
Ti,I,5389.1592,0.8129,-3.635,VALD3,,8.0,-6.08,-7.75,0.039,True,3,
Ti,I,5389.1636,0.8129,-3.617,VALD3,,8.0,-6.08,-7.75,0.04,True,3,
Ti,I,5389.1687,0.8129,-2.482,VALD3,,8.0,-6.08,-7.75,0.329,True,3,
Ti,I,5389.1736,0.8129,-3.479,VALD3,,8.0,-6.08,-7.75,0.054,True,3,
Ti,I,5389.1791,0.8129,-3.434,VALD3,,8.0,-6.08,-7.75,0.06,True,3,
Cr,I,5389.4286,4.5319,-1.477,VALD3,,8.06,-6.06,-7.76,0.011,True,3,
Fe,I,5389.4782,4.4153,-0.41,VALD3,,8.32,-4.81,-7.159,0.646,True,1,
Fe,I,5389.8086,4.4456,-2.012,VALD3,,8.17,-4.92,-7.36,0.248,True,1,
Fe,I,5389.8444,4.988,-1.798,VALD3,,8.77,-4.56,-7.43,0.138,True,1,
Ti,I,5389.9886,1.8732,-1.1,VALD3,,7.55,-6.06,-7.77,0.391,True,3,
V,I,5390.0867,1.7112,-1.287,VALD3,,7.45,-6.12,-7.78,0.076,True,3,
Fe,I,5390.0873,5.0674,-2.82,VALD3,,7.61,-4.1,-7.19,0.014,True,1,
Cr,I,5390.3788,3.3694,-0.994,VALD3,,7.8,-6.12,-7.77,0.317,True,3,
Co,I,5390.4706,4.0486,-0.523,VALD3,,8.33,-4.24,-7.5,0.089,True,3,
Ti,I,5390.4873,0.8129,-3.38,VALD3,,6.65,-6.09,-7.81,0.067,True,3,
Ti,I,5390.6825,0.8484,-3.854,VALD3,,7.95,-6.08,-7.75,0.022,True,3,
Co,I,5390.7695,4.0486,-0.844,VALD3,,8.34,-4.22,-7.51,0.047,True,3,
Ti,I,5391.057,1.8792,-1.96,VALD3,,7.51,-6.06,-7.77,0.103,True,3,
Ti,I,5391.1046,2.472,-2.089,VALD3,,7.37,-5.34,-7.77,0.019,True,3,
Fe,I,5391.2488,3.5732,-3.401,VALD3,,7.41,-6.25,-7.82,0.13,True,1,
Cr,I,5391.3396,3.3694,-1.194,VALD3,,7.8,-6.12,-7.77,0.246,True,3,
Cr,I,5391.3742,4.5351,-1.196,VALD3,,7.45,-6.18,-7.78,0.021,True,3,
Fe,I,5391.4588,4.1544,-0.777,VALD3,,8.47,-5.62,-7.53,0.641,True,1,
Fe,I,5391.623,3.6343,-4.281,VALD3,,5.75,-6.19,-7.82,0.018,False,1,
Fe,I,5391.7839,2.6924,-4.463,VALD3,,8.78,-5.79,-7.67,0.11,False,1,
Fe,I,5392.0148,4.7955,-1.831,VALD3,,8.28,-4.73,-7.32,0.185,True,1,
Sc,I,5392.058,1.987,0.16,VALD3,,7.84,-5.31,-7.56,0.154,True,3,
Ni,I,5392.3309,4.1536,-1.32,VALD3,,8.35,-5.58,-7.192,0.206,False,2,
V,I,5392.8199,1.7123,-1.502,VALD3,,7.45,-6.12,-7.78,0.048,False,3,
Fe,I,5393.167,3.241,-0.715,VALD3,,8.04,-5.41,-7.235,0.82,True,1,
V,I,5393.2621,1.8726,-1.791,VALD3,,6.6,-6.14,-7.78,0.017,True,3,
Co,I,5393.7396,4.0584,-0.604,VALD3,,8.19,-4.54,-7.5,0.075,False,3,
Fe,I,5393.9133,3.0469,-4.828,VALD3,,7.06,-6.21,-7.83,0.023,False,1,
Ti,I,5394.1582,2.3341,-1.8,VALD3,,8.23,-5.9,-7.71,0.05,False,3,
Fe,I,5394.3458,4.8349,-2.116,VALD3,,8.27,-4.6,-7.32,0.106,False,1,
Mn,I,5394.6698,0.0,-3.503,VALD3,,4.29,-6.27,-7.795,0.822,True,3,
Fe,I,5394.68,4.1864,-1.62,VALD3,,8.24,-6.03,-7.75,0.461,True,1,
Cr,I,5394.7106,4.4016,-1.038,VALD3,,8.14,-3.89,-7.45,0.04,True,3,
Fe,I,5394.8279,4.988,-2.798,VALD3,,8.66,-3.82,-7.14,0.018,False,1,
Fe,I,5395.2169,4.4456,-2.17,VALD3,,8.32,-6.03,-7.143,0.199,False,1,
Ti,II,5396.2466,1.5839,-3.18,VALD3,,8.39,-6.5,-7.84,0.11,False,3,
Ti,II,5396.5609,2.5977,-1.954,VALD3,,8.26,-6.49,-7.85,0.132,True,3,
Ti,I,5396.593,0.0,-3.37,VALD3,,6.37,-6.11,-7.77,0.359,True,3,
Ti,I,5396.6099,0.0211,-3.799,VALD3,,6.37,-6.11,-7.77,0.175,True,3,
Fe,I,5396.7162,5.0638,-2.963,VALD3,,8.8,-3.98,-7.25,0.01,False,1,
Fe,I,5396.898,3.0173,-3.934,VALD3,,7.5,-6.15,-7.82,0.151,False,1,
Ti,I,5397.063,1.8792,-0.9,VALD3,,7.54,-6.06,-7.77,0.46,True,3,
Fe,I,5397.1273,0.9146,-1.993,VALD3,,7.19,-6.22,-7.759,0.912,True,1,
Fe,I,5397.1981,4.4456,-1.228,VALD3,,8.29,-4.7,-7.46,0.481,True,1,
Fe,I,5397.6177,3.6343,-2.48,VALD3,,7.36,-6.15,-7.589,0.4,False,1,
V,I,5397.866,2.5549,-0.692,VALD3,,7.95,-4.96,-7.52,0.036,True,3,
Fe,I,5397.9089,5.0856,-1.897,VALD3,,8.81,-3.65,-7.12,0.095,True,1,
Fe,I,5398.2785,4.4456,-0.67,VALD3,,8.33,-4.81,-7.144,0.595,False,1,
Si,I,5398.8449,5.6135,-2.836,VALD3,,7.86,-2.28,-6.86,0.017,False,2,
Mn,I,5399.4745,3.853,-0.345,VALD3,,7.9,-5.39,-7.59,0.453,False,3,
Fe,I,5400.0735,4.4153,-2.929,VALD3,,8.12,-4.8,-7.34,0.053,False,1,
Fe,I,5400.3994,4.9556,-2.132,VALD3,,8.91,-4.97,-7.41,0.079,False,1,
Fe,I,5400.5006,4.3714,-0.16,VALD3,,8.31,-4.94,-7.187,0.695,True,1,
Cr,I,5400.5969,3.3752,-0.47,VALD3,,7.86,-5.96,-7.649,0.481,True,3,
Fe,I,5400.6547,3.6352,-2.615,VALD3,,7.59,-6.03,-7.82,0.354,True,1,
Cr,I,5400.7664,3.8446,-1.87,VALD3,,7.73,-6.15,-7.78,0.025,False,3,
Fe,I,5401.266,4.3201,-1.92,VALD3,,8.34,-5.01,-7.219,0.323,False,1,
Ti,I,5401.3686,0.8181,-4.185,VALD3,,8.0,-6.08,-7.75,0.011,True,3,
Ti,I,5401.3731,0.8181,-4.167,VALD3,,8.0,-6.08,-7.75,0.012,True,3,
Ti,I,5401.3782,0.8181,-3.032,VALD3,,8.0,-6.08,-7.75,0.132,True,3,
Ti,I,5401.3831,0.8181,-4.029,VALD3,,8.0,-6.08,-7.75,0.016,True,3,
Ti,I,5401.3886,0.8181,-3.984,VALD3,,8.0,-6.08,-7.75,0.017,True,3,
Fe,I,5401.5199,4.1034,-3.666,VALD3,,8.46,-4.3,-7.5,0.022,False,1,
V,I,5401.9261,2.3586,0.072,VALD3,,7.76,-6.01,-7.76,0.235,True,3,
Co,I,5401.9918,4.2398,-0.198,VALD3,,8.43,-4.59,-7.51,0.11,True,3,
Fe,I,5402.07,4.913,-2.111,VALD3,,8.75,-5.89,-7.3,0.09,True,1,
Ca,I,5402.2084,4.6802,-1.799,VALD3,,7.91,-4.63,-7.25,0.012,False,2,
Fe,I,5402.5412,5.0856,-2.625,VALD3,,8.87,-4.56,-7.32,0.021,True,1,
Mn,I,5402.588,2.9197,-2.79,VALD3,,7.92,-6.13,-7.77,0.063,True,3,
Ti,I,5402.7028,0.8181,-3.77,VALD3,,6.65,-6.09,-7.81,0.028,True,3,
Sc,I,5402.7173,0.0,-3.069,VALD3,,5.01,-6.11,-7.78,0.02,True,3,
Y,II,5402.7742,1.839,-0.63,VALD3,,8.33,-6.34,-7.74,0.138,True,3,
Fe,I,5403.3498,5.1055,-1.384,VALD3,,7.29,-4.16,-7.32,0.214,False,1,
Si,I,5403.7041,5.6157,-2.943,VALD3,,7.86,-2.23,-6.86,0.013,False,2,
Fe,I,5403.8215,4.0758,-1.034,VALD3,,7.72,-6.03,-7.81,0.613,False,1,
Ti,I,5404.0117,2.3341,-1.03,VALD3,,8.11,-5.97,-7.72,0.214,False,3,
Fe,I,5404.1168,4.3125,0.247,VALD3,,8.29,-5.28,-7.51,0.763,True,1,
Fe,I,5404.1507,4.4346,0.523,VALD3,,8.28,-4.75,-7.152,0.775,True,1,
Fe,I,5404.5486,4.7331,-1.521,VALD3,,8.28,-4.51,-7.32,0.3,False,1,
Si,I,5404.6649,5.6135,-2.676,VALD3,,7.86,-2.8,-6.86,0.024,False,2,
Cr,I,5404.9913,3.3752,-0.949,VALD3,,7.8,-6.12,-7.77,0.33,False,3,
Fe,I,5405.3496,4.3865,-1.39,VALD3,,8.31,-4.36,-7.51,0.458,False,1,
Fe,I,5405.7743,0.9901,-1.844,VALD3,,7.15,-6.22,-7.751,0.912,False,1,
Fe,I,5405.9277,4.913,-2.003,VALD3,,8.76,-4.56,-7.3,0.11,True,1,
Mn,I,5406.0061,2.8884,-2.657,VALD3,,7.92,-6.13,-7.77,0.089,True,3,
Ti,I,5406.18,3.5693,-0.25,VALD3,,8.76,-5.28,-7.66,0.071,False,3,
Fe,I,5406.3347,4.0758,-1.985,VALD3,,7.71,-5.52,-7.66,0.394,True,1,
Cr,I,5406.3999,3.847,-1.037,VALD3,,7.73,-6.16,-7.78,0.135,True,3,
Co,I,5406.7341,1.8826,-3.598,VALD3,,8.22,-6.09,-7.79,0.021,True,3,
Fe,I,5406.7741,4.3714,-1.72,VALD3,,8.31,-4.38,-7.189,0.368,True,1,
Fe,I,5407.1806,5.0674,-2.801,VALD3,,7.95,-3.84,-7.25,0.015,False,1,
Fe,I,5407.3816,3.5465,-2.848,VALD3,,7.62,-6.07,-7.81,0.308,True,1,
Mn,I,5407.4172,2.1427,-1.743,VALD3,,8.61,-6.01,-7.539,0.62,True,3,
Co,I,5407.5173,4.1751,-0.025,VALD3,,8.42,-4.67,-7.51,0.168,True,3,
Cr,II,5407.6173,3.8267,-2.18,VALD3,,8.33,-6.49,-7.859,0.113,True,3,
Ca,I,5408.0286,4.441,-1.492,VALD3,,7.99,-4.81,-7.35,0.041,False,2,
Co,I,5408.1301,2.28,-2.232,VALD3,,8.22,-6.09,-7.76,0.143,False,3,
Ti,I,5408.9319,0.0,-4.937,VALD3,,6.37,-6.11,-7.77,0.017,True,3,
Ti,I,5408.9354,0.0,-4.919,VALD3,,6.37,-6.11,-7.77,0.018,True,3,
Ti,I,5408.9392,0.0,-3.784,VALD3,,6.37,-6.11,-7.77,0.188,True,3,
Ti,I,5408.9427,0.0,-4.781,VALD3,,6.37,-6.11,-7.77,0.024,True,3,
Ti,I,5408.9468,0.0,-4.736,VALD3,,6.37,-6.11,-7.77,0.026,True,3,
Fe,I,5409.1326,4.3714,-1.3,VALD3,,8.32,-4.66,-7.189,0.484,True,1,
Fe,I,5409.1359,4.7955,-2.795,VALD3,,8.29,-3.69,-7.3,0.029,True,1,
Ti,I,5409.6078,1.8871,-0.73,VALD3,,7.51,-6.06,-7.77,0.508,False,3,
Si,I,5409.7658,5.6157,-2.738,VALD3,,7.86,-2.8,-6.86,0.021,True,2,
Cr,I,5409.7834,1.03,-0.67,VALD3,,7.81,-5.91,-7.62,0.887,True,3,
Si,I,5409.8507,5.6157,-2.826,VALD3,,7.86,-2.82,-6.86,0.017,True,2,
Fe,I,5410.4901,3.6398,-3.803,VALD3,,7.13,-6.11,-7.82,0.05,False,1,
Fe,I,5410.9092,4.4733,0.398,VALD3,,8.27,-4.89,-7.132,0.754,False,1,
Ni,I,5411.2184,4.0893,-1.065,VALD3,,8.33,-5.55,-7.37,0.305,False,2,
Fe,I,5411.3713,5.0203,-2.364,VALD3,,8.77,-4.71,-7.47,0.043,True,1,
Fe,I,5411.3886,3.6398,-3.431,VALD3,,7.59,-6.03,-7.82,0.106,True,1,
Si,I,5411.959,5.6192,-3.047,VALD3,,7.85,-2.23,-6.86,0.01,True,2,
Fe,I,5411.9786,5.0674,-2.098,VALD3,,8.26,-4.18,-7.31,0.067,True,1,
Fe,I,5412.5573,4.5844,-3.368,VALD3,,7.8,-5.99,-7.79,0.013,False,1,
Ti,I,5412.6672,2.4804,-1.821,VALD3,,7.36,-5.36,-7.77,0.033,False,3,
Fe,I,5412.7833,4.4346,-1.716,VALD3,,8.29,-4.53,-7.154,0.346,False,1,
Ca,I,5412.9187,4.443,-0.961,VALD3,,8.01,-4.81,-7.35,0.117,False,2,
Si,I,5413.0992,5.6157,-2.585,VALD3,,7.86,-2.76,-6.87,0.029,True,2,
Fe,I,5413.1068,5.1124,-2.3,VALD3,,7.41,-3.86,-7.16,0.04,True,1,
Mn,I,5413.6682,3.859,-0.647,VALD3,,7.9,-5.39,-7.59,0.356,True,3,
Co,I,5413.6987,4.0584,-0.694,VALD3,,8.18,-4.22,-7.51,0.062,True,3,
Co,I,5413.7283,3.6867,-1.229,VALD3,,7.98,-5.33,-7.55,0.048,True,3,
Fe,II,5414.0698,3.2213,-3.54,VALD3,,8.56,-6.53,-7.878,0.14,False,1,
Fe,I,5414.9059,3.6416,-4.402,VALD3,,7.13,-6.11,-7.82,0.013,False,1,
Fe,I,5415.1983,4.3865,0.642,VALD3,,8.3,-4.67,-7.182,0.794,True,1,
V,I,5415.2488,2.3737,0.28,VALD3,,7.74,-6.01,-7.623,0.305,True,3,
Cr,I,5415.6768,4.4105,-1.068,VALD3,,8.14,-3.89,-7.45,0.036,True,3,
Fe,I,5415.6859,5.0638,-2.542,VALD3,,8.87,-4.02,-7.34,0.026,True,1,
Sc,I,5416.161,1.9864,-0.94,VALD3,,7.84,-5.31,-7.56,0.015,False,3,
Fe,I,5417.0332,4.4153,-1.68,VALD3,,8.31,-4.66,-7.166,0.364,True,1,
