element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
N,I,1168.536,2.3846,-0.941,VALD3,,0.0,0.0,0.0,0.673,0.175583,False,2,
Cu,I,1168.91008,0.0,-1.501,VALD3,,7.61,-4.4,-7.58,0.135,0.597485,False,2,
Ca,II,1169.02937,0.0,-2.809,VALD3,,6.57,-4.14,-7.12,0.764,0.605133,False,1,
Fe,II,1169.1485,0.9863,-2.106,VALD3,,8.6,-6.5,-7.742,0.408,1.0,False,1,
Fe,II,1169.16794,1.0762,-2.854,VALD3,,8.53,-6.49,-7.923,0.086,1.0,False,1,
Fe,II,1169.19021,0.9863,-1.096,VALD3,,8.62,-6.5,-7.753,0.825,1.0,False,1,
Ca,II,1169.1979,0.0,-3.11,VALD3,,6.57,-4.13,-7.12,0.637,1.0,False,1,
N,I,1169.69,2.3835,-2.34,VALD3,,0.0,0.0,0.0,0.098,0.043851,False,2,
Fe,II,1170.02469,0.2322,-3.982,VALD3,,8.78,-6.48,-7.848,0.083,0.287594,False,1,
N,I,1170.28,2.3846,-2.423,VALD3,,0.0,0.0,0.0,0.089,1.0,False,2,
Fe,II,1170.29178,2.5827,-0.537,VALD3,,8.62,-6.36,-7.85,0.185,1.0,False,1,
Fe,II,1170.29624,1.0405,-1.763,VALD3,,8.59,-6.44,-7.932,0.551,0.807248,False,1,
Fe,II,1170.41078,0.9863,-2.864,VALD3,,8.61,-6.5,-7.748,0.113,1.0,False,1,
Fe,II,1170.4256,1.0405,-2.084,VALD3,,8.62,-6.45,-7.929,0.385,1.0,False,1,
S,I,1170.54899,0.0,-0.592,VALD3,,8.88,-5.63,-7.5,0.911,0.253052,False,1,
N,I,1170.674,2.3846,-2.618,VALD3,,0.0,0.0,0.0,0.051,0.908407,False,2,
Fe,II,1170.79929,0.1211,-4.311,VALD3,,8.59,-6.54,-7.783,0.059,0.789063,False,1,
Cu,I,1170.90411,0.0,-1.227,VALD3,,7.88,-4.64,-7.49,0.225,0.321822,False,2,
N,I,1171.084,2.3835,-1.987,VALD3,,0.0,0.0,0.0,0.198,0.313399,False,2,
Ni,II,1171.29086,1.1568,-1.367,VALD3,,7.56,-6.58,-7.94,0.323,0.125766,False,1,
Fe,II,1171.63382,1.0762,-1.913,VALD3,,8.67,-6.47,-7.929,0.444,0.027264,False,1,
Cu,I,1172.04879,0.0,-1.613,VALD3,,7.5,-3.36,-6.96,0.104,0.015769,False,2,
S,I,1172.55364,0.0491,-0.9,VALD3,,8.3,-4.99,-7.42,0.91,0.998901,False,1,
S,I,1172.55364,0.0491,-1.324,VALD3,,8.29,-4.98,-7.42,0.909,1.0,False,1,
