# linelist_alpha_cen_a.csv — alpha Cen A per-system VALD3 linelist (RYA-300)
# Generated: 2026-06-15  by scripts/intake_build_alpha_cen.py
# Stellar params: Teff=5792 K, logg=4.3, [Fe/H]=+0.20, vmic=1.1 km/s
#   (Heiter+2015 GBS Paper I / Jofre+2014 GBS Paper III)
# HFS splitting: ON (Codex permanent convention — all extractions, RYA-300)
# Detection threshold (central_depth): 0.05
# Extractions merged (all HFS-ON):
#   uv1     : vald_alpha_cen_a_uv1_raw.txt (RyanSchmitt.019551.gz), 1150-2000 A
#   uv2     : vald_alpha_cen_a_uv2_raw.txt (RyanSchmitt.019552.gz), 2000-3780 A
#   optical : vald_alpha_cen_a_optical_raw.txt (RyanSchmitt.019553.gz), 3780-6910 A
#   nir     : vald_alpha_cen_a_nir_raw.txt (RyanSchmitt.019554.gz), 6910-17000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 102
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes,extraction_source,wavelength_convention
S,I,1161.59513,0.0491,-1.374,VALD3,,8.5,-5.14,-7.44,0.839,False,0,,uv1_019551,vacuum
S,I,1161.74897,0.0491,-1.244,VALD3,,8.48,-5.14,-7.44,0.841,False,0,,uv1_019551,vacuum
S,I,1161.97473,1.1454,-0.906,VALD3,,8.09,-3.29,-6.95,0.81,False,0,,uv1_019551,vacuum
Fe,II,1161.99804,1.0762,-2.074,VALD3,,8.63,-6.48,-7.923,0.275,False,0,,uv1_019551,vacuum
Mn,II,1162.01458,0.0,-0.957,VALD3,,8.04,-6.25,-7.62,0.776,False,0,,uv1_019551,vacuum
Fe,II,1162.33386,1.0969,-1.878,VALD3,,8.63,-6.48,-7.92,0.357,False,0,,uv1_019551,vacuum
Ni,II,1162.7523,1.0407,-1.887,VALD3,,7.15,-6.59,-7.94,0.118,False,0,,uv1_019551,vacuum
S,I,1163.2047,1.1454,-3.312,VALD3,,8.49,-4.11,-7.26,0.059,False,0,,uv1_019551,vacuum
Mn,II,1163.32556,0.0,-1.106,VALD3,,8.01,-6.21,-7.62,0.748,False,0,,uv1_019551,vacuum
S,I,1163.34002,1.1454,-3.247,VALD3,,8.5,-4.13,-7.24,0.065,False,0,,uv1_019551,vacuum
N,I,1163.884,2.3835,-1.402,VALD3,,0.0,0.0,0.0,0.372,False,0,,uv1_019551,vacuum
S,I,1163.99625,0.0711,-1.292,VALD3,,8.5,-5.14,-7.44,0.839,False,0,,uv1_019551,vacuum
Mn,II,1164.20377,0.0,-2.775,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20391,0.0,-3.319,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20431,0.0,-2.872,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20445,0.0,-2.61,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.2047,0.0,-3.286,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20536,0.0,-2.508,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.2056,0.0,-2.524,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20594,0.0,-3.432,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20686,0.0,-2.256,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.2072,0.0,-2.534,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20764,0.0,-3.797,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20882,0.0,-2.056,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.20926,0.0,-2.7,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Mn,II,1164.21124,0.0,-1.888,VALD3,,7.94,-6.24,-7.64,0.681,False,0,,uv1_019551,vacuum
Ni,II,1164.27935,1.0407,-1.279,VALD3,,7.53,-6.6,-7.94,0.339,False,0,,uv1_019551,vacuum
N,I,1164.325,2.3846,-1.64,VALD3,,0.0,0.0,0.0,0.265,False,0,,uv1_019551,vacuum
Fe,II,1164.47456,0.9863,-1.389,VALD3,,8.62,-6.45,-7.932,0.656,False,0,,uv1_019551,vacuum
Ni,II,1164.57521,1.68,-1.012,VALD3,,7.82,-6.19,-7.93,0.118,False,0,,uv1_019551,vacuum
Fe,II,1164.86739,2.8067,-0.592,VALD3,,8.74,-5.87,-7.63,0.059,False,0,,uv1_019551,vacuum
Fe,II,1165.23732,1.0405,-1.823,VALD3,,8.53,-6.49,-7.923,0.421,False,0,,uv1_019551,vacuum
