# air_wavelength_A  corrected_residual_flux  transmission
# RYA-940 telluric-corrected 1984 Kitt Peak atlas. NaN = quarantined (transmission < T_min=0.0873), never divided.
  6249.52580       0.969386   0.992638
  6249.53310       0.969629   0.992638
  6249.53980       0.969508   0.992637
  6249.54710       0.969156   0.992637
  6249.55380       0.968854   0.992636
  6249.56120       0.968019   0.992636
  6249.56850       0.966508   0.992635
  6249.57520       0.964635   0.992635
  6249.58250       0.962046   0.992634
  6249.58980       0.958591   0.992634
  6249.59660       0.954693   0.992633
  6249.60390       0.950200   0.992633
  6249.61060       0.945154   0.992632
  6249.61790       0.940762   0.992632
  6249.62520       0.937639   0.992631
  6249.63200       0.935353   0.992631
  6249.63930       0.934326   0.992630
  6249.64600       0.935576   0.992630
  6249.65330       0.938890   0.992629
  6249.66060       0.943283   0.992629
  6249.66740       0.948311   0.992628
  6249.67470       0.954013   0.992628
  6249.68200       0.960280   0.992627
  6249.68870       0.966718   0.992627
  6249.69600       0.972733   0.992626
  6249.70280       0.977770   0.992626
  6249.71010       0.982012   0.992625
  6249.71740       0.986143   0.992625
  6249.72410       0.990284   0.992624
  6249.73140       0.993559   0.992624
  6249.73880       0.995534   0.992623
  6249.74550       0.996844   0.992623
  6249.75280       0.998003   0.992622
  6249.75950       0.998961   0.992622
  6249.76680       0.999878   0.992621
  6249.77420       1.000745   0.992621
  6249.78090       1.001088   0.992620
  6249.78820       1.000998   0.992620
  6249.79550       1.001139   0.992619
  6249.80220       1.001452   0.992619
  6249.80960       1.001432   0.992618
  6249.81630       1.001231   0.992618
  6249.82360       1.001182   0.992617
  6249.83090       1.001081   0.992617
  6249.83760       1.000759   0.992616
  6249.84500       1.000347   0.992616
  6249.85170       1.000045   0.992615
  6249.85900       0.999673   0.992615
  6249.86630       0.998988   0.992614
  6249.87300       0.998364   0.992614
  6249.88040       0.998395   0.992613
  6249.88770       0.998658   0.992613
  6249.89440       0.998326   0.992612
  6249.90170       0.997762   0.992612
  6249.90840       0.997762   0.992611
  6249.91580       0.998045   0.992611
  6249.92310       0.997864   0.992610
  6249.92980       0.997270   0.992610
  6249.93710       0.996928   0.992609
  6249.94450       0.997322   0.992608
  6249.95120       0.998048   0.992608
  6249.95850       0.998320   0.992607
  6249.96520       0.998351   0.992607
  6249.97250       0.998744   0.992606
  6249.97990       0.998997   0.992606
  6249.98660       0.998644   0.992605
  6249.99390       0.998494   0.992605
  6250.00120       0.998827   0.992604
  6250.00790       0.998938   0.992604
  6250.01530       0.998868   0.992604
  6250.02200       0.998909   0.992603
  6250.02930       0.998708   0.992603
  6250.03660       0.998366   0.992602
  6250.04330       0.998417   0.992602
  6250.05070       0.998619   0.992601
  6250.05740       0.998730   0.992601
  6250.06470       0.999214   0.992600
  6250.07200       0.999739   0.992599
  6250.07870       0.999528   0.992599
  6250.08610       0.999216   0.992598
  6250.09340       0.999811   0.992598
  6250.10010       1.000708   0.992597
  6250.10740       1.000910   0.992597
  6250.11410       1.000809   0.992597
  6250.12150       1.001132   0.992596
  6250.12880       1.001516   0.992595
  6250.13550       1.001557   0.992595
  6250.14280       1.001678   0.992594
  6250.15010       1.001860   0.992594
  6250.15690       1.001437   0.992593
  6250.16420       1.000884   0.992593
  6250.17090       1.001065   0.992592
  6250.17820       1.001288   0.992592
  6250.18550       1.000825   0.992591
  6250.19230       1.000483   0.992591
  6250.19960       1.000534   0.992590
  6250.20690       1.000212   0.992590
  6250.21360       0.999970   0.992589
  6250.22090       1.000394   0.992589
  6250.22770       1.000566   0.992588
  6250.23500       1.000294   0.992588
  6250.24230       1.000587   0.992587
  6250.24900       1.001152   0.992587
  6250.25630       1.001263   0.992586
  6250.26370       1.001576   0.992586
  6250.27040       1.002332   0.992585
  6250.27770       1.002615   0.992585
  6250.28440       1.002313   0.992584
  6250.29170       1.002152   0.992584
  6250.29910       1.002384   0.992583
  6250.30580       1.002667   0.992583
  6250.31310       1.002345   0.992582
  6250.31980       1.001459   0.992582
  6250.32710       1.001026   0.992581
  6250.33450       1.001107   0.992581
  6250.34120       1.000473   0.992580
