ion,band,synth_band,wavelength_air_A,half_width_A,n_transitions,summed_depth_window,depth_share_target,molecular_share,top_contaminant,top_contaminant_share,verdict,synth_n_transitions,synth_depth_share_target,synthesis_blind_to_molecular
I,VIS,VIS,4408.413,0.62,93,27.153,0.0409,0.0036,V I,0.8289,TARGET-NOT-DOMINANT,37,0.2846,False
I,VIS,VIS,4423.841,0.62,66,5.695,0.3068,0.0011,V I,0.3219,TARGET-NOT-DOMINANT,37,0.4658,False
I,VIS,VIS,4432.568,0.62,121,2.535,0.385,0.0043,Cr I,0.189,TARGET-NOT-DOMINANT,33,0.3637,False
I,VIS,VIS,4447.717,0.62,55,3.012,0.9074,0.0262,Co II,0.0266,CLEAN,33,0.9549,False
I,VIS,VIS,4459.117,0.62,82,11.413,0.1433,0.0,V I,0.5149,TARGET-NOT-DOMINANT,35,0.2468,False
I,VIS,VIS,4461.968,0.62,88,24.544,0.1603,0.0023,Mn I,0.4679,TARGET-NOT-DOMINANT,42,0.5976,False
I,VIS,VIS,4476.075,0.62,47,2.245,0.7768,0.0,V I,0.1274,BLENDED,24,0.8565,False
I,VIS,VIS,4480.137,0.62,60,5.623,0.5662,0.0,V I,0.18,BLENDED,29,0.6909,False
I,VIS,VIS,4481.609,0.62,41,3.461,0.4788,0.0,Mg II,0.2421,TARGET-NOT-DOMINANT,27,0.3394,False
I,VIS,VIS,4482.739,0.62,15,3.315,0.7861,0.0,Ti I,0.1101,BLENDED,25,0.7597,False
I,VIS,VIS,4484.22,0.62,113,4.458,0.2853,0.0067,Co I,0.6254,TARGET-NOT-DOMINANT,36,0.5104,False
I,VIS,VIS,4488.906,0.62,116,12.853,0.0699,0.0,Ti II,0.3945,TARGET-NOT-DOMINANT,34,0.1876,False
I,VIS,VIS,4494.563,0.62,37,5.094,0.3371,0.0043,Co I,0.3274,TARGET-NOT-DOMINANT,29,0.5796,False
I,VIS,VIS,4495.391,0.62,42,2.471,0.582,0.0182,Ti I,0.138,BLENDED,30,0.5155,False
I,VIS,VIS,4495.953,0.62,56,4.337,0.3643,0.0159,Pr II,0.2525,TARGET-NOT-DOMINANT,31,0.4736,False
I,VIS,VIS,4514.184,0.62,85,4.273,0.4327,0.0122,Co I,0.2696,TARGET-NOT-DOMINANT,38,0.3747,False
I,VIS,VIS,4528.757,0.62,85,9.277,0.2287,0.0009,V II,0.7028,TARGET-NOT-DOMINANT,20,0.7077,False
I,VIS,VIS,4531.636,0.62,69,2.887,0.7783,0.0083,V II,0.1195,BLENDED,37,0.5803,False
I,VIS,VIS,4547.847,0.62,62,1.943,0.4251,0.0046,Ti I,0.2496,TARGET-NOT-DOMINANT,25,0.5549,False
I,VIS,VIS,4554.451,0.62,35,14.47,0.0261,0.001,Ba II,0.897,TARGET-NOT-DOMINANT,28,0.1384,False
I,VIS,VIS,4565.662,0.62,69,13.946,0.132,0.0018,Co I,0.771,TARGET-NOT-DOMINANT,43,0.4266,False
I,VIS,VIS,4574.216,0.62,21,1.89,0.5968,0.0021,La II,0.3571,BLENDED,26,0.915,False
I,VIS,VIS,4581.508,0.62,144,16.834,0.0593,0.0,Co I,0.8455,TARGET-NOT-DOMINANT,45,0.2201,False
I,VIS,VIS,4595.358,0.62,43,2.946,0.4834,0.0085,Ni I,0.2977,TARGET-NOT-DOMINANT,24,0.4026,False
I,VIS,VIS,4607.646,0.62,51,3.588,0.228,0.002,Mn I,0.544,TARGET-NOT-DOMINANT,24,0.3689,False
I,VIS,VIS,4611.184,0.62,36,2.57,0.9412,0.0054,V I,0.0327,CLEAN,25,0.8981,False
I,VIS,VIS,4619.288,0.62,78,6.487,0.206,0.0046,V I,0.5351,TARGET-NOT-DOMINANT,25,0.4724,False
I,VIS,VIS,4625.045,0.62,52,1.2,0.6992,0.035,V I,0.0883,BLENDED,27,0.4779,False
I,VIS,VIS,4630.12,0.62,86,1.14,0.6386,0.0412,Ni I,0.1649,BLENDED,30,0.4505,False
I,VIS,VIS,4637.503,0.62,47,3.267,0.4946,0.0174,Cr I,0.3382,TARGET-NOT-DOMINANT,28,0.4845,False
I,VIS,VIS,4654.605,0.62,55,3.409,0.6723,0.0082,Co I,0.2124,BLENDED,29,0.7131,False
I,VIS,VIS,4654.631,0.62,55,3.409,0.6723,0.0082,Co I,0.2124,BLENDED,29,0.7131,False
I,VIS,VIS,4667.453,0.62,54,4.094,0.3483,0.0059,Ni I,0.3183,TARGET-NOT-DOMINANT,25,0.3882,False
I,VIS,VIS,4668.134,0.62,72,8.5,0.1747,0.0071,Na I,0.5686,TARGET-NOT-DOMINANT,26,0.3989,False
I,VIS,VIS,4669.171,0.62,85,7.507,0.1917,0.0036,Na I,0.6438,TARGET-NOT-DOMINANT,39,0.2257,False
I,VIS,VIS,4678.846,0.62,77,2.426,0.9246,0.0367,C2 I,0.035,CLEAN,26,0.9746,False
I,VIS,VIS,4704.948,0.62,43,2.066,0.4864,0.0271,Co I,0.3485,TARGET-NOT-DOMINANT,15,0.535,False
I,VIS,VIS,4707.274,0.62,108,2.449,0.5921,0.0282,V I,0.1115,BLENDED,20,0.82,False
I,VIS,VIS,4708.968,0.62,75,2.449,0.5292,0.0233,Ti II,0.2405,BLENDED,29,0.65,False
I,VIS,VIS,4709.088,0.62,79,5.02,0.259,0.0104,Mn I,0.5124,TARGET-NOT-DOMINANT,33,0.6485,False
I,VIS,VIS,4720.962,0.62,74,2.877,0.2461,0.0097,V I,0.5328,TARGET-NOT-DOMINANT,38,0.4172,False
I,VIS,VIS,4726.137,0.62,19,0.407,0.6265,0.1007,Cr I,0.1966,BLENDED,19,0.6971,False
I,VIS,VIS,4727.395,0.62,80,18.178,0.0442,0.0014,Mn I,0.5298,TARGET-NOT-DOMINANT,24,0.2207,False
I,VIS,VIS,4736.773,0.62,80,2.066,0.4443,0.0866,Cr I,0.2832,TARGET-NOT-DOMINANT,22,0.4117,False
I,VIS,VIS,4741.069,0.62,66,4.147,0.382,0.0005,Sc I,0.5469,TARGET-NOT-DOMINANT,33,0.3439,False
I,VIS,VIS,4745.8,0.62,50,3.716,0.2688,0.0,Co I,0.4311,TARGET-NOT-DOMINANT,21,0.4058,False
I,VIS,VIS,4768.32,0.62,34,5.94,0.2449,0.0007,Co I,0.6788,TARGET-NOT-DOMINANT,22,0.604,False
I,VIS,VIS,4768.396,0.62,33,5.932,0.2453,0.0007,Co I,0.6797,TARGET-NOT-DOMINANT,25,0.6757,False
I,VIS,VIS,4787.827,0.62,24,0.916,0.6714,0.0011,Cr I,0.214,BLENDED,26,0.7553,False
I,VIS,VIS,4807.708,0.62,58,1.682,0.5654,0.0048,Co I,0.1688,BLENDED,26,0.5177,False
I,VIS,VIS,4843.143,0.62,90,4.65,0.312,0.0101,Co I,0.4163,TARGET-NOT-DOMINANT,25,0.6154,False
I,VIS,VIS,4855.673,0.62,63,4.34,0.1638,0.003,Ni I,0.4624,TARGET-NOT-DOMINANT,29,0.2151,False
I,VIS,VIS,4860.978,0.62,36,6.164,0.0689,0.0013,H I,0.4997,TARGET-NOT-DOMINANT,42,0.221,False
I,VIS,VIS,4871.318,0.62,58,3.716,0.4879,0.0059,Cr I,0.1604,TARGET-NOT-DOMINANT,29,0.4928,False
I,VIS,VIS,4875.877,0.62,90,12.573,0.0562,0.0021,V I,0.8561,TARGET-NOT-DOMINANT,38,0.168,False
I,VIS,VIS,4882.143,0.62,75,15.862,0.0914,0.0012,V I,0.7228,TARGET-NOT-DOMINANT,31,0.4068,False
I,VIS,VIS,4885.43,0.62,73,2.472,0.2844,0.0077,Ti I,0.2925,TARGET-NOT-DOMINANT,23,0.251,False
I,VIS,VIS,4889.102,0.62,14,2.491,0.8141,0.0032,Cr I,0.1136,CLEAN,71,0.56,False
I,VIS,VIS,4890.755,0.62,75,2.582,0.8187,0.0043,V I,0.0651,CLEAN,75,0.5579,False
I,VIS,VIS,4896.439,0.62,15,0.444,0.7793,0.0405,Mn I,0.1171,BLENDED,15,0.8281,False
I,VIS,VIS,4903.31,0.62,35,1.358,0.6016,0.0029,Cr I,0.3122,BLENDED,19,0.5752,False
I,VIS,VIS,4905.133,0.62,32,0.483,0.853,0.0166,V I,0.0373,CLEAN,27,0.4032,False
I,VIS,VIS,4907.732,0.62,75,3.967,0.3786,0.002,Co I,0.5717,TARGET-NOT-DOMINANT,37,0.4667,False
I,VIS,VIS,4910.017,0.62,34,2.461,0.9171,0.0061,Sc I,0.0731,CLEAN,82,0.9696,False
I,VIS,VIS,4911.529,0.62,22,1.658,0.3589,0.0229,Ni I,0.3064,TARGET-NOT-DOMINANT,24,0.401,False
I,VIS,VIS,4911.779,0.62,42,1.745,0.341,0.0172,Ni I,0.2911,TARGET-NOT-DOMINANT,26,0.314,False
I,VIS,VIS,4933.873,0.62,68,11.161,0.2045,0.0013,Ba II,0.7682,TARGET-NOT-DOMINANT,40,0.2887,False
I,VIS,VIS,4934.084,0.62,55,9.881,0.1146,0.0017,Ba II,0.8677,TARGET-NOT-DOMINANT,36,0.1935,False
I,VIS,VIS,4946.387,0.62,24,1.426,0.5449,0.0203,Ni I,0.2546,BLENDED,19,0.6276,False
I,VIS,VIS,4950.105,0.62,28,0.914,0.6958,0.012,Sc II,0.2298,BLENDED,101,0.7647,False
I,VIS,VIS,4966.088,0.62,70,6.16,0.1424,0.0002,Mn I,0.6867,TARGET-NOT-DOMINANT,19,0.3709,False
I,VIS,VIS,4973.102,0.62,18,1.128,0.7066,0.0053,Ti I,0.1995,BLENDED,21,0.4029,False
I,VIS,VIS,4985.253,0.62,40,2.433,0.6145,0.0037,Mn I,0.36,BLENDED,19,0.7058,False
I,VIS,VIS,5001.863,0.62,39,1.456,0.8125,0.0,Pr II,0.0618,CLEAN,21,0.8182,False
I,VIS,VIS,5002.792,0.62,56,1.454,0.8308,0.0227,Pr II,0.0619,CLEAN,17,0.6948,False
I,VIS,VIS,5005.712,0.62,50,2.647,0.6113,0.0174,Si I,0.193,BLENDED,27,0.495,False
I,VIS,VIS,5014.942,0.62,73,1.136,0.8002,0.0158,Co I,0.0898,CLEAN,31,0.7011,False
I,VIS,VIS,5022.235,0.62,44,3.03,0.6026,0.0205,Mn I,0.2158,BLENDED,30,0.8319,False
I,VIS,VIS,5023.498,0.62,39,0.833,0.7851,0.0384,V I,0.0576,BLENDED,21,0.8785,False
I,VIS,VIS,5028.126,0.62,25,1.645,0.8207,0.0286,Cr I,0.1228,CLEAN,59,0.7968,False
I,VIS,VIS,5039.251,0.62,23,1.433,0.4983,0.0195,Ni I,0.4075,TARGET-NOT-DOMINANT,89,0.5141,False
I,VIS,VIS,5048.436,0.62,42,3.418,0.3154,0.017,Ni I,0.5524,TARGET-NOT-DOMINANT,87,0.3703,False
I,VIS,VIS,5098.573,0.62,46,2.759,0.7332,0.0283,Sc I,0.1566,BLENDED,79,0.9286,False
I,VIS,VIS,5099.077,0.62,66,3.329,0.6065,0.0108,Sc I,0.1977,BLENDED,85,0.7484,False
I,VIS,VIS,5110.358,0.62,50,2.699,0.6391,0.0274,Pr II,0.2445,BLENDED,85,0.8337,False
I,VIS,VIS,5129.631,0.62,52,2.572,0.1505,0.0607,Ni I,0.3989,TARGET-NOT-DOMINANT,109,0.2762,False
I,VIS,VIS,5133.688,0.62,31,6.107,0.1218,0.0131,Co I,0.8631,TARGET-NOT-DOMINANT,17,0.6833,False
I,VIS,VIS,5139.251,0.62,23,2.802,0.5799,0.0332,Ni I,0.2662,BLENDED,91,0.5336,False
I,VIS,VIS,5171.672,0.62,37,1.963,0.7269,0.0031,Co I,0.1987,BLENDED,28,0.8862,False
I,VIS,VIS,5208.594,0.62,15,1.817,0.4271,0.0182,Cr I,0.5542,TARGET-NOT-DOMINANT,96,0.4388,False
I,VIS,VIS,5215.18,0.62,40,2.516,0.345,0.0,Co I,0.5056,TARGET-NOT-DOMINANT,20,0.4338,False
I,VIS,VIS,5217.389,0.62,12,1.334,0.9798,0.0,Ni I,0.0097,CLEAN,52,0.9585,False
I,VIS,VIS,5226.861,0.62,14,3.672,0.7397,0.0,Ti II,0.1901,BLENDED,19,0.7458,False
I,VIS,VIS,5242.491,0.62,21,0.973,0.9836,0.0,Pr II,0.0164,CLEAN,17,1.0,False
I,VIS,VIS,5253.462,0.62,38,1.067,0.8379,0.0,Co I,0.0675,CLEAN,23,0.9333,False
I,VIS,VIS,5263.306,0.62,27,2.002,0.7817,0.0,Pr II,0.0749,BLENDED,18,0.5156,False
I,VIS,VIS,5273.163,0.62,27,3.345,0.5764,0.0,Co I,0.2978,BLENDED,19,0.7569,False
I,VIS,VIS,5283.621,0.62,49,3.825,0.2078,0.0,Co I,0.5451,TARGET-NOT-DOMINANT,26,0.2389,False
I,VIS,VIS,5285.127,0.62,60,0.758,0.591,0.0,Co I,0.1187,BLENDED,21,0.3752,False
I,VIS,VIS,5288.525,0.62,28,0.841,0.83,0.0,Ti I,0.0951,CLEAN,83,0.5492,False
I,VIS,VIS,5302.3,0.62,73,2.095,0.3776,0.001,La II,0.5322,TARGET-NOT-DOMINANT,29,0.6791,False
I,VIS,VIS,5324.179,0.62,18,0.957,0.8579,0.0,Mn I,0.0721,CLEAN,19,0.4942,False
I,VIS,VIS,5339.929,0.62,52,2.51,0.3542,0.0024,Co I,0.5187,TARGET-NOT-DOMINANT,85,0.698,False
I,VIS,VIS,5353.374,0.62,53,8.52,0.0799,0.0007,Co I,0.7518,TARGET-NOT-DOMINANT,20,0.2851,False
I,VIS,VIS,5373.709,0.62,24,0.889,0.5872,0.0,Co I,0.3442,BLENDED,17,0.7158,False
I,VIS,VIS,5379.574,0.62,7,0.601,0.9867,0.005,Ti II,0.0083,CLEAN,81,0.9867,False
I,VIS,VIS,5393.167,0.62,49,1.509,0.4977,0.0053,Co I,0.3943,TARGET-NOT-DOMINANT,17,0.7941,False
I,VIS,VIS,5403.822,0.62,15,2.231,0.9615,0.0067,Ti I,0.0206,CLEAN,13,0.8771,False
I,VIS,VIS,5455.454,0.62,41,2.437,0.872,0.0029,Co I,0.0886,CLEAN,20,0.9517,False
I,VIS,VIS,5473.9,0.62,44,1.22,0.4951,0.0098,Ti I,0.2385,TARGET-NOT-DOMINANT,16,0.5659,False
I,VIS,VIS,5476.564,0.62,70,6.152,0.1999,0.0008,Ni I,0.5091,TARGET-NOT-DOMINANT,19,0.5858,False
I,VIS,VIS,5481.438,0.62,84,5.37,0.2667,0.0032,Mn I,0.4831,TARGET-NOT-DOMINANT,79,0.6111,False
I,VIS,VIS,5483.099,0.62,31,8.548,0.0521,0.0021,Co I,0.9434,TARGET-NOT-DOMINANT,24,0.1942,False
I,VIS,VIS,5493.499,0.62,45,1.455,0.7017,0.0186,La II,0.1237,BLENDED,23,0.7967,False
I,VIS,VIS,5532.747,0.62,31,0.918,0.817,0.0283,Co I,0.0763,CLEAN,17,0.8651,False
I,VIS,VIS,5538.516,0.62,37,0.117,0.4017,0.1795,V I,0.359,TARGET-NOT-DOMINANT,74,0.9815,False
I,VIS,VIS,5554.894,0.62,37,0.928,0.861,0.0248,Co I,0.0905,CLEAN,21,0.8696,False
I,VIS,VIS,5563.6,0.62,29,0.995,0.9307,0.0131,Co I,0.0362,CLEAN,20,0.976,False
I,VIS,VIS,5569.618,0.62,16,0.838,0.9379,0.031,C2 I,0.031,CLEAN,62,0.9551,False
I,VIS,VIS,5572.842,0.62,24,3.15,0.3921,0.0079,Co I,0.5867,TARGET-NOT-DOMINANT,16,0.5986,False
I,VIS,VIS,5573.102,0.62,37,2.9,0.4193,0.0072,Co I,0.5421,TARGET-NOT-DOMINANT,19,0.4507,False
I,VIS,VIS,5586.756,0.62,6,1.135,0.9912,0.0,Fe II,0.0079,CLEAN,23,0.8701,False
I,VIS,VIS,5602.767,0.62,16,2.03,0.635,0.003,Ca I,0.3034,BLENDED,17,0.6375,False
I,VIS,VIS,5602.945,0.62,14,2.021,0.6378,0.0045,Ca I,0.3048,BLENDED,16,0.6375,False
I,VIS,VIS,5615.644,0.62,32,1.624,0.8836,0.0074,Co I,0.1034,CLEAN,24,0.9382,False
I,VIS,VIS,5618.632,0.62,26,0.544,0.9191,0.0129,Mn I,0.0276,CLEAN,70,0.9762,False
I,VIS,VIS,5624.542,0.62,51,4.458,0.2308,0.0027,V I,0.7537,TARGET-NOT-DOMINANT,14,0.7826,False
I,VIS,VIS,5638.262,0.62,35,1.088,0.5156,0.0,Co I,0.3281,BLENDED,73,0.3191,False
