wavelength_air_A,elo_eV,eup_eV,loggf,ew_mA,network,a_1dlte,delta_nlte,a_1dnlte,aberr,a_3dnlte,term_3d_atmosphere,in_domain
5618.632,4.2089,6.4149,-1.276,59.252497142566334,gt02,7.41015625,0.0051,7.41525625,0.0442025166785222,7.454358766678522,0.03910251667852194,True
5619.595,4.3865,6.5921,-1.7,46.41857973684556,gt02,7.33984375,0.0071,7.34694375,0.0449396424672803,7.38478339246728,0.03783964246727933,True
5620.3945,3.3009,5.5063,-4.305,53.91919026099245,gt02,7.4013671875,,,,,,False
5620.4924,4.1544,6.3597,-1.79,53.80597031389742,gt02,7.4013671875,,,0.0351354113501729,7.436502598850173,,True
5635.8039,,,,47.07905276354522,,7.69140625,0.010270000000000001,7.70167625,,,,False
5650.7051,5.0856,7.2791,-0.96,48.90336912726372,gt02,7.796875,,,0.0480986871594721,7.844973687159472,,True
5651.4683,4.4733,6.6665,-2.0,23.48333411709444,gt02,7.62109375,0.011200000000000002,7.63229375,0.040907417855811,7.662001167855811,0.029707417855811435,True
5652.3173,4.2605,6.4534,-1.95,32.292372164315495,gt02,7.603515625,0.010270000000000001,7.613785625,0.0453871827956317,7.648902807795632,0.035117182795631585,True
5653.8644,4.3865,6.5788,-1.64,51.69215471603877,gt02,7.8671875,,,0.0432482930401407,7.910435793040141,,True
5665.6347,3.6416,5.8294,-2.884,48.467355722325465,,,,,,,,False
5679.0229,4.652,6.8346,-0.92,71.08033242673284,gt02,7.62109375,,,0.0550842949940423,7.676178044994042,,True
5691.4963,4.3013,6.4791,-1.52,53.72772536680353,gt02,7.7265625,,,0.0360295340291264,7.762592034029127,,True
5730.854,4.913,7.0758,-1.444,37.52775937849244,gt02,7.990234375,,,,,,False
5741.8473,4.2562,6.4149,-1.854,46.077386545006966,gt02,7.779296875,0.010270000000000001,7.789566875,0.0457449962370735,7.825041871237073,0.035474996237073064,True
5742.96,4.1777,6.336,-2.51,46.781282459890384,gt02,8.25390625,0.010270000000000001,8.26417625,0.0301320852898932,8.284038335289893,0.019862085289892306,True
5752.0312,4.5485,6.7034,-1.172,71.06116072842431,gt02,7.8671875,,,0.0497666519179904,7.916954151917991,,True
5759.5257,,,,43.63477477098529,,7.76171875,,,,,,False
5783.9065,,,,62.54728152215653,,9.02734375,,,,,,False
5806.7248,4.6076,6.7422,-1.05,72.42205955863068,gt02,7.7265625,0.011510000000000003,7.7380725,0.0519080609733779,7.778470560973378,0.04039806097337806,True
