element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4554.451,,,7.296,True,nan,2.8654,5.5869,-2.81,1,gt02,"transition energy Eup-Elo 2.7215 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7215,,,0.023141185813259968,
Fe,I,VIS,4565.662,,,7.332,True,nan,3.241,5.9558,-2.17,1,gt02,"transition energy Eup-Elo 2.7148 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7148,,,0.049792332499855096,
Fe,I,VIS,4574.216,,,7.544,True,nan,3.2112,5.9209,-2.35,1,gt02,"transition energy Eup-Elo 2.7097 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7096999999999998,,,0.04638082491457601,
Fe,I,VIS,4581.508,,,8.291,True,nan,3.241,5.9464,-1.83,1,gt02,"transition energy Eup-Elo 2.7054 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7053999999999996,,,0.03290600056429975,
Fe,I,VIS,4595.358,,,7.312,True,nan,3.3014,5.9987,-1.73,1,gt02,"transition energy Eup-Elo 2.6973 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6973000000000003,,,0.037051389445011546,
Fe,I,VIS,4607.646,,,7.415,True,nan,3.2657,5.9558,-1.33,2,gt02,"transition energy Eup-Elo 2.6901 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6901,,,0.05386597213024366,
Fe,I,VIS,4611.184,,,7.088,True,nan,2.8512,5.5392,-2.62,1,gt02,"transition energy Eup-Elo 2.6880 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.688,,,0.024249091099110248,
Fe,I,VIS,4619.288,,,7.5,True,nan,3.6025,6.2858,-1.06,1,gt02,"transition energy Eup-Elo 2.6833 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2858 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6833,,,0.07891529832542188,
Fe,I,VIS,4625.045,,,7.475,True,nan,3.241,5.9209,-1.27,1,gt02,"transition energy Eup-Elo 2.6799 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.6798999999999995,,,0.05568093561496462,
Fe,I,VIS,4630.12,,,7.613,True,nan,2.2786,4.9556,-2.58,1,gt02,"transition energy Eup-Elo 2.6770 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 4.9556 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6769999999999996,,,0.005748240671937389,
