key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald
24,2,Cr 2,3007.93,4.4148,-2.969,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3007.935,3.4488,-2.669,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3007.9440000000004,5.6152,-3.405,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3007.948,8.6301,-1.4,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3007.95,1.2052,-0.591,VALD3,1,,,,,,,,0,False,
60,2,Nd 2,3007.972,1.2512,0.23,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3007.973,6.1553,-0.416,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.033,2.882,-4.418,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3008.0510712662417,3.134999999999999,-2.012892538552079,VALD3,15,,,,,,,,0,False,
68,2,Er 2,3008.1070000000004,0.0546,-2.21,VALD3,1,,,,,,,,0,False,
40,2,Zr 2,3008.108,1.236,-1.2,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.1130000000003,3.0176,-5.439,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.124,3.2112,-0.8440000000000001,VALD3,1,,,,,,,,0,False,
58,2,Ce 2,3008.129,0.823,-0.8,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3008.131,4.4972,-3.535,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.138,0.1101,-0.837,VALD3,1,-0.8371370066780739,A,3.0,T3547,L11631,3008.138,0.11011433,1,True,-0.00013700667807392541
42,2,Mo 2,3008.149,2.1504,-0.663,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3008.184,4.4151,-2.623,VALD3,1,,,,,,,,0,False,
68,2,Er 2,3008.1909999999993,1.6153,0.538,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3008.191,8.7278,-0.268,VALD3,1,,,,,,,,0,False,
44,1,Ru 1,3008.258,1.1386,-1.18,VALD3,1,,,,,,,,0,False,
25,1,Mn 1,3008.259125524695,3.1353,-0.768947199619699,VALD3,16,,,,,,,,0,False,
26,1,Fe 1,3008.264,2.6085,-5.191,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3008.277,1.3108,-0.487,VALD3,1,,,,,,,,0,False,
22,2,Ti 2,3008.311,1.5718,-1.8,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3008.323,3.8904,-0.853,VALD3,1,,,,,,,,0,False,
24,2,Cr 2,3008.324,4.1433,-1.717,VALD3,1,,,,,,,,0,False,
25,2,Mn 2,3008.429,4.6926,-2.808,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3008.445,3.079,-3.222,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.481,3.2657,-1.579,VALD3,1,,,,,,,,0,False,
26,1,Fe 1,3008.494,3.0173,-2.45,VALD3,1,,,,,,,,0,False,
90,2,Th 2,3008.497,0.7704,-0.611,VALD3,1,,,,,,,,0,False,
23,2,V 2,3008.509,2.5444,-0.846,VALD3,1,,,,,,,,0,False,
23,2,V 2,3008.614,1.6752,-0.66,VALD3,1,,,,,,,,0,False,
24,1,Cr 1,3008.651,3.8904,-2.195,VALD3,1,,,,,,,,0,False,
26,2,Fe 2,3008.657,7.1181,-2.903,VALD3,1,,,,,,,,0,False,
