wavelength_obs_A,wavelength_ritz_A,fik,gi,aki_s-1,nist_grade,ref_transition_probability,ref_line,ei_eV,log_gf,nist_acc_pct,wavelength_A,nist_sigma_dex,canon_index,species,canon_log_gf,canon_hfs_n,delta_nist_minus_canon,canon_shared_with
3305.9705,3305.97065,0.0929,5.0,40500000.0,B,T5720,L11631,2.1978664,-0.3330142816703395,10.0,3305.9705,0.04139268515822508,154867,Fe I,-0.3330142816703395,1.0,0.0,1
3306.0806,3306.08118,,9.0,,,,L11631,2.99035244,,,3306.0806,,154872,Fe I,-1.909,1.0,,1
3306.3393,3306.342,0.0941,9.0,57400000.0,B,T5720,L11631,3.0468689,-0.0721678671334182,10.0,3306.3393,0.04139268515822508,154882,Fe I,-0.0721678671334182,1.0,0.0,1
3306.3545,3306.35695,0.132,3.0,48400000.0,B,T5720,L11631,2.22271209,-0.4023048140744876,10.0,3306.3545,0.04139268515822508,154883,Fe I,-0.4023048140744876,1.0,0.0,1
3306.4816,3306.4823,,5.0,,,,L11631,3.30092244,,,3306.4816,,154892,Fe I,-0.979,1.0,,1
3306.5849,3306.58683,,11.0,,,,L11631,2.94879294,,,3306.5849,,154893,Fe I,-1.745,1.0,,1
3307.0051,3307.00567,,11.0,,,,L11631,2.94879294,,,3307.0051,,154904,Fe I,-2.498,1.0,,1
3307.2334,3307.2333,0.0323,13.0,19700000.0,B+,T5720,L11631,3.23672008,-0.3768541253620603,7.0,3307.2334,0.029383777685209667,154912,Fe I,-0.3768541253620603,1.0,0.0,1
3307.6859,3307.68582,,7.0,,,,L11631,2.99804479,,,3307.6859,,154924,Fe I,-2.827,1.0,,1
3310.341,3310.3412,0.00621,11.0,3780000.0,C+,T5720,L11631,2.94879294,-1.1655157146651949,18.0,3310.341,0.07188200730612536,155002,Fe I,-1.1655157146651949,1.0,0.0,1
3310.4905,3310.49027,0.013,7.0,6170000.0,C+,T5720,L11631,3.25148176,-1.0409586076789064,18.0,3310.4905,0.07188200730612536,155010,Fe I,-1.0409586076789064,1.0,0.0,1
3312.2213,3312.22254,,9.0,,,,L11631,2.99035244,,,3312.2213,,155063,Fe I,-1.706,1.0,,1
3314.066,3314.0654,,3.0,,,,L11631,3.41489715,,,3314.066,,155129,Fe I,-3.459,1.0,,1
3314.4426,3314.44293,,5.0,,,,L11631,2.60850194,,,3314.4426,,155139,Fe I,-2.008,1.0,,1
3314.7411,3314.74131,0.167,5.0,72500000.0,B+,T5720,L11631,3.30092244,-0.0783135245163978,7.0,3314.7411,0.029383777685209667,155151,Fe I,-0.0783135245163978,1.0,0.0,1
3317.1207,3317.12093,0.00308,5.0,3110000.0,B,T4187,L11631,2.27860466,-1.812479279163537,10.0,3317.1207,0.04139268515822508,155234,Fe I,-1.812479279163537,1.0,0.0,1
3319.2529,3319.25278,0.00616,9.0,3730000.0,C,T5720,L11631,2.99035244,-1.2561767783962496,25.0,3319.2529,0.09691001300805642,155294,Fe I,-1.2561767783962496,1.0,0.0,1
3320.6428,3320.64332,,11.0,,,,L11631,2.4326947,,,3320.6428,,155331,Fe I,-2.334,1.0,,1
3320.7736,3320.7747,,5.0,,,,L11631,3.03847046,,,3320.7736,,155335,Fe I,-2.938,1.0,,1
3322.4727,3322.47325,0.0166,9.0,8210000.0,B,T5720,L11631,2.93984587,-0.82564940252062,10.0,3322.4727,0.04139268515822508,155386,Fe I,-0.82564940252062,1.0,0.0,1
3323.7362,3323.73598,0.047,5.0,28000000.0,D+,T2491n,L11631,2.83159117,-0.6289321377282637,40.0,3323.7362,0.146128035678238,155421,Fe I,-0.6289321377282637,1.0,0.0,1
3324.3701,3324.3692,,11.0,,,,L11631,3.26711257,,,3324.3701,,155442,Fe I,-1.403,1.0,,1
3324.5364,3324.53603,0.00241,13.0,1720000.0,B,T5720,L11631,2.40407444,-1.504039605118295,10.0,3324.5364,0.04139268515822508,155444,Fe I,-1.504039605118295,1.0,0.0,1
3324.7818,3324.7836,,11.0,,,,L11631,2.94879294,,,3324.7818,,155455,Fe I,-1.712,1.0,,1
3325.4644,3325.46445,0.00306,9.0,2370000.0,C+,T5720,L11631,2.45343044,-1.5600360640790951,18.0,3325.4644,0.07188200730612536,155481,Fe I,-1.5600360640790951,1.0,0.0,1
3327.4955,3327.49495,,13.0,,,,L11631,2.40407444,,,3327.4955,,155545,Fe I,-3.442,1.0,,1
3328.8657,3328.86592,0.0367,11.0,22100000.0,B+,T5720,L11631,3.26711257,-0.3939412505896855,7.0,3328.8657,0.029383777685209667,155586,Fe I,-0.3939412505896855,1.0,0.0,1
3329.5227,3329.52305,,9.0,,,,L11631,3.0468689,,,3329.5227,,155608,Fe I,-1.887,1.0,,1
3331.6109,3331.61103,0.00242,11.0,1780000.0,B,T5720,L11631,2.4326947,-1.5747919488613438,10.0,3331.6109,0.04139268515822508,155654,Fe I,-1.5747919488613438,1.0,0.0,1
3331.7748,3331.77547,,1.0,,,,L11631,2.48437256,,,3331.7748,,155658,Fe I,-2.065,1.0,,1
3334.2174,3334.21754,0.000818,11.0,491000.0,C+,T5720,L11631,2.4326947,-2.045854011170452,18.0,3334.2174,0.07188200730612536,155727,Fe I,-2.045854011170452,1.0,0.0,1
3334.2716,3334.2733,,11.0,,,,L11631,3.26711257,,,3334.2716,,155729,Fe I,-1.952,1.0,,1
3335.5109,3335.50958,,7.0,,,,L11631,1.55735733,,,3335.5109,,155762,Fe I,-3.644,1.0,,1
3335.7153,3335.71393,,9.0,,,,L11631,2.7275445,,,3335.7153,,155767,Fe I,-2.267,1.0,,1
3335.7682,3335.76869,0.0208,3.0,7480000.0,C+,T5720,L11631,2.84504259,-1.204815410317576,18.0,3335.7682,0.07188200730612536,155769,Fe I,-1.204815410317576,1.0,0.0,1
3336.2565,3336.25685,0.00819,9.0,4910000.0,C+,T5720,L11631,3.30140276,-1.1324735888002566,18.0,3336.2565,0.07188200730612536,155786,Fe I,-1.1324735888002566,1.0,0.0,1
3337.6649,3337.66481,0.00828,11.0,6060000.0,B,T5720,L11631,2.69240763,-1.0405769780568948,10.0,3337.6649,0.04139268515822508,155825,Fe I,-1.0405769780568948,1.0,0.0,1
3338.6205,3338.62031,,7.0,,,,L11631,2.99804479,,,3338.6205,,155855,Fe I,-2.883,1.0,,1
3339.1944,3339.19385,0.00229,9.0,1370000.0,B,T5720,L11631,2.45343044,-1.685922008220787,10.0,3339.1944,0.04139268515822508,155867,Fe I,-1.685922008220787,1.0,0.0,1
3339.5766,3339.57792,,5.0,,,,L11631,3.01725044,,,3339.5766,,155876,Fe I,-1.756,1.0,,1
3340.5641,3340.56432,0.00828,5.0,4950000.0,B,T5720,L11631,2.27860466,-1.3829996588791011,10.0,3340.5641,0.04139268515822508,155900,Fe I,-1.3829996588791011,1.0,0.0,1
3341.9057,3341.9056,0.00506,11.0,3020000.0,C+,T5720,L11631,2.69240763,-1.2544567980019758,18.0,3341.9057,0.07188200730612536,155946,Fe I,-1.2544567980019758,1.0,0.0,1
3342.2141,3342.21412,,5.0,,,,L11631,2.27860466,,,3342.2141,,155955,Fe I,-2.537,1.0,,1
3342.2916,3342.292,0.0158,3.0,9420000.0,C+,T5720,L11631,2.84504259,-1.324221658325915,18.0,3342.2916,0.07188200730612536,155960,Fe I,-1.324221658325915,1.0,0.0,1
3343.2392,3343.23674,,7.0,,,,L11631,2.17594512,,,3343.2392,,155982,Fe I,-3.185,1.0,,1
3343.7603,3343.7594,,5.0,,,,L11631,3.03847046,,,3343.7603,,156003,Fe I,-3.464,1.0,,1
3344.9391,3344.938,,11.0,,,,L11631,3.33201954,,,3344.9391,,156051,Fe I,-1.079,1.0,,1
3346.9343,3346.93385,,7.0,,,,L11631,2.17594512,,,3346.9343,,156104,Fe I,-3.07,1.0,,1
3347.9253,3347.92527,0.00825,5.0,4910000.0,C,T5720,L11631,2.27860466,-1.384576047114056,25.0,3347.9253,0.09691001300805642,156124,Fe I,-1.384576047114056,1.0,0.0,1
3349.7241,3349.72737,,5.0,,,,L11631,2.83159117,,,3349.7241,,156159,Fe I,-5.552,1.0,,1
3351.5216,3351.5214,0.00159,5.0,1570000.0,C+,T5720,L11631,2.1978664,-2.0996328713435295,18.0,3351.5216,0.07188200730612536,156201,Fe I,-2.099632871343529,1.0,-4.440892098500626e-16,1
3351.7438,3351.74378,0.00287,9.0,2190000.0,B,T5720,L11631,2.7275445,-1.5878755938266829,10.0,3351.7438,0.04139268515822508,156207,Fe I,-1.5878755938266829,1.0,0.0,1
3353.2601,3353.26,0.000815,11.0,409000.0,D+,T5720,L11631,2.4326947,-2.047449706101798,40.0,3353.2601,0.146128035678238,156239,Fe I,-2.047449706101798,1.0,0.0,1
3354.0591,3354.0591,0.0678,1.0,13400000.0,B,T5720,L11631,2.85805275,-1.1687703061329366,10.0,3354.0591,0.04139268515822508,156260,Fe I,-1.1687703061329366,1.0,0.0,1
3355.2275,3355.2276,0.0437,9.0,25900000.0,C+,T5720,L11631,3.30140276,-0.4052760535902532,18.0,3355.2275,0.07188200730612536,156297,Fe I,-0.4052760535902532,1.0,0.0,1
3356.3123,3356.31941,,9.0,,,,L11631,0.91460217,,,3356.3123,,-1,Fe I,,,,0
3356.4012,3356.3996,,3.0,,,,L11631,3.63521992,,,3356.4012,,-1,Fe I,,,,0
3356.4012,3356.40078,0.00263,5.0,1560000.0,C+,T5720,L11631,2.27860466,-1.8810742471742232,18.0,3356.4012,0.07188200730612536,156319,Fe I,-1.8810742471742232,1.0,0.0,1
3356.6829,3356.68365,,9.0,,,,L11631,3.0468689,,,3356.6829,,156324,Fe I,-1.497,1.0,,1
3359.4861,3359.48591,,11.0,,,,L11631,0.85899575,,,3359.4861,,156410,Fe I,-3.554,1.0,,1
3359.8086,3359.8083,,9.0,,,,L11631,3.30140276,,,3359.8086,,156419,Fe I,-1.737,1.0,,1
3360.9246,3360.9261,,3.0,,,,L11631,2.42419831,,,3360.9246,,156447,Fe I,-2.496,1.0,,1
3361.9484,3361.94934,,3.0,,,,L11631,2.84504259,,,3361.9484,,156494,Fe I,-2.043,1.0,,1
3362.2679,3362.26696,,9.0,,,,L11631,2.99035244,,,3362.2679,,156505,Fe I,-1.961,1.0,,1
3364.2609,3364.2634,,1.0,,,,L11631,3.11096179,,,3364.2609,,156577,Fe I,-2.08,1.0,,1
3366.7852,3366.7854,,11.0,,,,L11631,2.69240763,,,3366.7852,,156650,Fe I,-1.609,1.0,,1
3366.8637,3366.86401,,5.0,,,,L11631,2.1978664,,,3366.8637,,156654,Fe I,-1.839,1.0,,1
3367.1538,3367.15387,,3.0,,,,L11631,2.42419831,,,3367.1538,,156666,Fe I,-2.258,1.0,,1
3367.2159,3367.2166,,7.0,,,,L11631,3.3965088,,,3367.2159,,-1,Fe I,,,,0
3369.1388,3369.13887,,9.0,,,,L11631,2.45343044,,,3369.1388,,156744,Fe I,-4.99,1.0,,1
3369.5471,3369.5471,0.0366,9.0,21500000.0,B,T5720,L11631,2.7275445,-0.4822764051662644,10.0,3369.5471,0.04139268515822508,156758,Fe I,-0.4822764051662644,1.0,0.0,1
3370.7832,3370.78304,0.0492,11.0,28900000.0,B,T5720,L11631,2.69240763,-0.2666422120744146,10.0,3370.7832,0.04139268515822508,156792,Fe I,-0.2666422120744146,1.0,0.0,1
3372.0736,3372.07344,0.00158,7.0,1300000.0,B,T5720,L11631,2.17594512,-1.9562448730313204,10.0,3372.0736,0.04139268515822508,156827,Fe I,-1.9562448730313204,1.0,0.0,1
3372.3436,3372.3428,,9.0,,,,L11631,2.99035244,,,3372.3436,,156835,Fe I,-1.606,1.0,,1
3373.871,3373.8694,0.000588,9.0,282000.0,C,T5720,L11631,2.7275445,-2.2763801644845367,25.0,3373.871,0.09691001300805642,156878,Fe I,-2.2763801644845367,1.0,0.0,1
3374.1918,3374.19054,,3.0,,,,L11631,2.22271209,,,3374.1918,,156888,Fe I,-1.505,1.0,,1
3376.4908,3376.489,,5.0,,,,L11631,3.65369332,,,3376.4908,,156955,Fe I,-1.448,1.0,,1
3378.6787,3378.67868,,11.0,,,,L11631,2.69240763,,,3378.6787,,157019,Fe I,-0.613,1.0,,1
3378.7329,3378.73269,,5.0,,,,L11631,2.27860466,,,3378.7329,,157021,Fe I,-2.726,1.0,,1
3379.0177,3379.01774,0.00561,7.0,4590000.0,B,T5720,L11631,2.17594512,-1.405939098729582,10.0,3379.0177,0.04139268515822508,157032,Fe I,-1.405939098729582,1.0,0.0,1
3380.1098,3380.10987,0.0284,7.0,16600000.0,B,T5720,L11631,2.75857762,-0.7015836199387054,10.0,3380.1098,0.04139268515822508,157072,Fe I,-0.7015836199387054,1.0,0.0,1
3380.7466,3380.7481,,3.0,,,,L11631,3.0713388,,,3380.7466,,157090,Fe I,-2.303,1.0,,1
3381.3337,3381.3335,0.00465,3.0,2710000.0,C,T5720,L11631,2.84504259,-1.8554257923903836,25.0,3381.3337,0.09691001300805642,157111,Fe I,-1.855425792390384,1.0,4.440892098500626e-16,1
3382.4018,3382.40187,0.00176,7.0,797000.0,C+,T5720,L11631,2.17594512,-1.9093892921715936,18.0,3382.4018,0.07188200730612536,157147,Fe I,-1.9093892921715927,1.0,-8.881784197001252e-16,1
3383.6914,3383.69144,0.00858,5.0,8330000.0,B,T5720,L11631,2.1978664,-1.3675427078152758,10.0,3383.6914,0.04139268515822508,157182,Fe I,-1.3675427078152758,1.0,0.0,1
3383.9788,3383.97871,0.0112,7.0,6520000.0,B,T5720,L11631,2.17594512,-1.1056839373155616,10.0,3383.9788,0.04139268515822508,157192,Fe I,-1.1056839373155616,1.0,0.0,1
3385.4358,3385.4355,,11.0,,,,L11631,2.94879294,,,3385.4358,,157236,Fe I,-1.97,1.0,,1
3387.4053,3387.40537,,7.0,,,,L11631,2.75857762,,,3387.4053,,157291,Fe I,-1.579,1.0,,1
3387.617,3387.6175,,5.0,,,,L11631,3.65369332,,,3387.617,,157301,Fe I,-0.916,1.0,,1
3387.617,3387.6188,,5.0,,,,L11631,3.41695281,,,3387.617,,157302,Fe I,-3.786,1.0,,1
3388.6187,3388.61813,,5.0,,,,L11631,3.01725044,,,3388.6187,,157335,Fe I,-1.931,1.0,,1
3389.7416,3389.74187,,3.0,,,,L11631,2.22271209,,,3389.7416,,157371,Fe I,-2.028,1.0,,1
3392.0093,3392.0094,,5.0,,,,L11631,3.01725044,,,3392.0093,,157425,Fe I,-0.835,1.0,,1
3392.305,3392.304,,5.0,,,,L11631,3.41695281,,,3392.305,,157433,Fe I,-4.135,1.0,,1
3392.305,3392.30502,0.0171,5.0,9930000.0,C+,T5720,L11631,2.1978664,-1.0680338852718274,18.0,3392.305,0.07188200730612536,157434,Fe I,-1.0680338852718274,1.0,0.0,1
3392.6521,3392.65213,0.0324,7.0,18800000.0,B,T5720,L11631,2.17594512,-0.644356949779131,10.0,3392.6521,0.04139268515822508,157442,Fe I,-0.644356949779131,1.0,0.0,1
3393.3773,3393.3776,,1.0,,,,L11631,2.85805275,,,3393.3773,,157459,Fe I,-2.016,1.0,,1
3393.9134,3393.9127,,7.0,,,,L11631,3.60252504,,,3393.9134,,157473,Fe I,-1.129,1.0,,1
3394.0772,3394.07721,0.000647,9.0,482000.0,C+,T5720,L11631,2.45343044,-2.2348532098919747,18.0,3394.0772,0.07188200730612536,157478,Fe I,-2.2348532098919747,1.0,0.0,1
3394.5829,3394.58304,0.00903,5.0,8700000.0,B,T5720,L11631,2.1978664,-1.3453422453504755,10.0,3394.5829,0.04139268515822508,157497,Fe I,-1.3453422453504755,1.0,0.0,1
3396.3764,3396.37757,,7.0,,,,L11631,0.95815732,,,3396.3764,,157558,Fe I,-3.771,1.0,,1
3396.9753,3396.9754,0.000535,7.0,433000.0,D+,T5720,L11631,0.95815732,-2.4265481779645146,40.0,3396.9753,0.146128035678238,157573,Fe I,-2.4265481779645146,1.0,0.0,1
3397.2035,3397.2054,,5.0,,,,L11631,3.01725044,,,3397.2035,,157577,Fe I,-2.499,1.0,,1
3397.5513,3397.5518,,7.0,,,,L11631,3.01762252,,,3397.5513,,157586,Fe I,-1.783,1.0,,1
3397.638,3397.63764,0.000134,5.0,129000.0,D,T5720,L11631,0.99011115,-3.1739251972991736,50.0,3397.638,0.17609125905568124,157590,Fe I,-3.1739251972991736,1.0,0.0,1
3398.2167,3398.2166,0.00137,7.0,615000.0,C+,T6110,L11631,2.75857762,-2.0181813928293364,18.0,3398.2167,0.07188200730612536,157605,Fe I,-2.0181813928293364,1.0,0.0,1
3399.228,3399.2292,,9.0,,,,L11631,2.7275445,,,3399.228,,157633,Fe I,-2.81,1.0,,1
3399.3329,3399.33299,0.0478,5.0,27600000.0,B,T5720,L11631,2.1978664,-0.6216020990518623,10.0,3399.3329,0.04139268515822508,157635,Fe I,-0.6216020990518623,1.0,0.0,1
3401.5185,3401.51837,0.00097,9.0,719000.0,C+,T5720,L11631,0.91460217,-2.0589857562944305,18.0,3401.5185,0.07188200730612536,157683,Fe I,-2.0589857562944305,1.0,0.0,1
3402.256,3402.2556,0.038,13.0,21900000.0,C+,T5720,L11631,3.23672008,-0.306273051076353,18.0,3402.256,0.07188200730612536,157712,Fe I,-0.306273051076353,1.0,0.0,1
3403.2898,3403.2895,0.00968,5.0,3980000.0,C+,T5720,L11631,2.83159117,-1.3151546383555874,18.0,3403.2898,0.07188200730612536,157745,Fe I,-1.3151546383555874,1.0,0.0,1
,3403.64817,2.4e-10,9.0,0.18,D,T6409,,0.0,-8.665546248849068,50.0,3403.64817,0.17609125905568124,157754,Fe I,-8.665546248849068,1.0,0.0,1
3404.27,3404.27,0.000875,3.0,302000.0,C,T5720,L11631,1.01105568,-2.580870692258024,25.0,3404.27,0.09691001300805642,157770,Fe I,-2.580870692258024,1.0,0.0,1
3404.3006,3404.30084,,9.0,,,,L11631,2.7275445,,,3404.3006,,157771,Fe I,-0.829,1.0,,1
3404.3537,3404.35382,0.0265,5.0,10900000.0,B,T5720,L11631,2.1978664,-0.8777841217271733,10.0,3404.3537,0.04139268515822508,157773,Fe I,-0.8777841217271733,1.0,0.0,1
3405.8312,3405.8312,,11.0,,,,L11631,2.69240763,,,3405.8312,,157814,Fe I,-1.805,1.0,,1
3406.4364,3406.4368,0.078,3.0,27000000.0,D+,T2491n,L11631,3.2739844,-0.6307841425898572,40.0,3406.4364,0.146128035678238,157833,Fe I,-0.6307841425898572,1.0,0.0,1
3406.7992,3406.79933,0.0362,3.0,20800000.0,B,T5720,L11631,2.22271209,-0.9641701747471718,10.0,3406.7992,0.04139268515822508,157844,Fe I,-0.9641701747471718,1.0,0.0,1
3406.832,3406.8338,,3.0,,,,L11631,3.68638944,,,3406.832,,157845,Fe I,-1.975,1.0,,1
3407.4594,3407.45937,0.136,7.0,60900000.0,B,T5720,L11631,2.17594512,-0.0213630516155256,10.0,3407.4594,0.04139268515822508,157863,Fe I,-0.0213630516155256,2.0,0.0,1
3407.5315,3407.53196,0.00234,7.0,1880000.0,B,T5720,L11631,2.17594512,-1.7856861025756003,10.0,3407.5315,0.04139268515822508,-1,Fe I,,,,0
3409.5879,3409.58801,,9.0,,,,L11631,2.45343044,,,3409.5879,,157916,Fe I,-3.381,1.0,,1
3410.0275,3410.02694,,9.0,,,,L11631,3.0468689,,,3410.0275,,157930,Fe I,-2.85,1.0,,1
3410.169,3410.169,0.147,3.0,50700000.0,C+,T5720,L11631,3.41489715,-0.3555614105321615,18.0,3410.169,0.07188200730612536,157932,Fe I,-0.3555614105321615,1.0,0.0,1
3410.895,3410.89479,5.41e-05,9.0,31000.0,D+,T5720,L11631,0.91460217,-3.3125602254541056,40.0,3410.895,0.146128035678238,157950,Fe I,-3.3125602254541056,1.0,0.0,1
3411.1255,3411.1255,,11.0,,,,L11631,2.69240763,,,3411.1255,,157953,Fe I,-1.584,1.0,,1
3411.3529,3411.35315,0.011,9.0,6000000.0,D+,T2491n,L11631,2.7275445,-1.00436480540245,40.0,3411.3529,0.146128035678238,157956,Fe I,-1.00436480540245,1.0,0.0,1
3413.1321,3413.13213,0.079,5.0,32300000.0,B,T5720,L11631,2.1978664,-0.4034029043735397,10.0,3413.1321,0.04139268515822508,157999,Fe I,-0.4034029043735397,1.0,0.0,1
3415.531,3415.53111,0.0135,3.0,4640000.0,C+,T5720,L11631,2.22271209,-1.3925449767853315,18.0,3415.531,0.07188200730612536,158070,Fe I,-1.3925449767853315,1.0,0.0,1
3416.046,3416.0478,,9.0,,,,L11631,3.3682564,,,3416.046,,-1,Fe I,,,,0
3416.2798,3416.28186,,9.0,,,,L11631,3.0468689,,,3416.2798,,158087,Fe I,-1.834,1.0,,1
3417.256,3417.25756,,3.0,,,,L11631,1.01105568,,,3417.256,,158112,Fe I,-3.39,1.0,,1
3417.8403,3417.84044,0.0702,3.0,40100000.0,B,T5720,L11631,2.22271209,-0.6765416331505323,10.0,3417.8403,0.04139268515822508,158125,Fe I,-0.6765416331505323,1.0,0.0,1
3418.164,3418.1636,,3.0,,,,L11631,3.68638944,,,3418.164,,158138,Fe I,-0.613,1.0,,1
3418.5069,3418.507,0.0578,3.0,98800000.0,B,T5720,L11631,2.22271209,-0.7609509068598085,10.0,3418.5069,0.04139268515822508,158145,Fe I,-0.7609509068598085,1.0,0.0,1
3419.1448,3419.14455,,9.0,,,,L11631,2.99035244,,,3419.1448,,158162,Fe I,-1.927,1.0,,1
3419.6937,3419.6933,,3.0,,,,L11631,2.84504259,,,3419.6937,,158174,Fe I,-1.838,1.0,,1
3422.4922,3422.4925,,9.0,,,,L11631,3.0468689,,,3422.4922,,158240,Fe I,-0.441,1.0,,1
3422.6557,3422.65573,0.0404,3.0,13800000.0,B,T5720,L11631,2.22271209,-0.9164973801697326,10.0,3422.6557,0.04139268515822508,158247,Fe I,-0.9164973801697326,1.0,0.0,1
3424.2842,3424.28418,0.0283,7.0,16100000.0,B,T5720,L11631,2.17594512,-0.703115524461453,10.0,3424.2842,0.04139268515822508,158281,Fe I,-0.703115524461453,1.0,0.0,1
3425.01,3425.01,0.0352,9.0,25700000.0,C+,T5720,L11631,3.0468689,-0.499214827082544,18.0,3425.01,0.07188200730612536,158294,Fe I,-0.499214827082544,1.0,0.0,1
3426.3241,3426.32491,0.00477,5.0,4520000.0,B,T5720,L11631,2.27860466,-1.6225116166238671,10.0,3426.3241,0.04139268515822508,158323,Fe I,-1.6225116166238671,1.0,0.0,1
3426.382,3426.37928,0.00246,5.0,999000.0,B,T5720,L11631,0.99011115,-1.9100948885606024,10.0,3426.382,0.04139268515822508,158325,Fe I,-1.9100948885606024,1.0,0.0,1
3426.382,3426.38727,,7.0,,,,L11631,2.17594512,,,3426.382,,-1,Fe I,,,,0
3426.6278,3426.62792,0.0205,5.0,19400000.0,B,T5720,L11631,2.1978664,-0.9892761346082268,10.0,3426.6278,0.04139268515822508,158337,Fe I,-0.9892761346082268,1.0,0.0,1
3426.6656,3426.6657,0.0188,11.0,10700000.0,B,T5720,L11631,3.26711257,-0.684449465578095,10.0,3426.6656,0.04139268515822508,158339,Fe I,-0.684449465578095,1.0,0.0,1
3426.9877,3426.98772,0.000498,5.0,283000.0,D+,T5720,L11631,0.99011115,-2.6038006529042637,40.0,3426.9877,0.146128035678238,158345,Fe I,-2.603800652904264,1.0,4.440892098500626e-16,1
3427.1193,3427.1193,0.114,7.0,50400000.0,B,T5720,L11631,2.17594512,-0.0979971086492705,10.0,3427.1193,0.04139268515822508,158347,Fe I,-0.0979971086492705,1.0,0.0,1
3428.0095,3428.0094,,9.0,,,,L11631,3.30140276,,,3428.0095,,-1,Fe I,,,,0
3428.1924,3428.19254,0.0301,5.0,17100000.0,B,T5720,L11631,2.1978664,-0.8224635000701379,10.0,3428.1924,0.04139268515822508,158369,Fe I,-0.8224635000701379,1.0,0.0,1
3428.748,3428.7486,,7.0,,,,L11631,3.60252504,,,3428.748,,158385,Fe I,-0.63,1.0,,1
3431.8114,3431.81152,0.0137,5.0,5530000.0,B,T5720,L11631,2.83159117,-1.1643094285075744,10.0,3431.8114,0.04139268515822508,158467,Fe I,-1.1643094285075744,1.0,0.0,1
3431.8425,3431.8445,,5.0,,,,L11631,3.30092244,,,3431.8425,,158468,Fe I,-1.373,1.0,,1
3433.5677,3433.56732,,7.0,,,,L11631,2.75857762,,,3433.5677,,158510,Fe I,-1.632,1.0,,1
3437.0443,3437.04486,,9.0,,,,L11631,3.0468689,,,3437.0443,,158602,Fe I,-0.554,1.0,,1
3437.9486,3437.9485,,11.0,,,,L11631,3.26711257,,,3437.9486,,158620,Fe I,-1.719,1.0,,1
3438.3063,3438.3058,,7.0,,,,L11631,3.60252504,,,3438.3063,,158631,Fe I,-0.4479999999999999,1.0,,1
3439.0355,3439.0355,,9.0,,,,L11631,2.7275445,,,3439.0355,,158647,Fe I,-1.556,1.0,,1
3439.8681,3439.8683,,7.0,,,,L11631,3.60252504,,,3439.8681,,158662,Fe I,-0.368,1.0,,1
3440.6057,3440.60547,0.0236,9.0,17100000.0,B,T5720,L11631,0.0,-0.6728454875905685,10.0,3440.6057,0.04139268515822508,158686,Fe I,-0.6728454875905685,1.0,0.0,1
3440.9885,3440.98835,0.0157,7.0,12400000.0,B,T5720,L11631,0.05156912,-0.9590023075765094,10.0,3440.9885,0.04139268515822508,158694,Fe I,-0.9590023075765094,1.0,0.0,1
3442.139,3442.1409,,5.0,,,,L11631,3.65369332,,,3442.139,,158729,Fe I,-0.667,1.0,,1
3442.3616,3442.36163,0.00809,5.0,4550000.0,B,T4187,L11631,2.27860466,-1.393081474051709,10.0,3442.3616,0.04139268515822508,158734,Fe I,-1.393081474051709,1.0,0.0,1
3442.6688,3442.66926,0.000311,7.0,175000.0,C,T5720,L11631,0.95815732,-2.6621415709589056,25.0,3442.6688,0.09691001300805642,158743,Fe I,-2.6621415709589056,1.0,0.0,1
3442.9722,3442.9737,,3.0,,,,L11631,3.0713388,,,3442.9722,,158756,Fe I,-1.5,1.0,,1
3443.8763,3443.87624,0.00845,5.0,7920000.0,B,T5720,L11631,0.08728574,-1.3741732867142888,10.0,3443.8763,0.04139268515822508,158782,Fe I,-1.3741732867142888,1.0,0.0,1
3445.1489,3445.14901,0.0583,5.0,23400000.0,B,T5720,L11631,2.1978664,-0.5353614409049672,10.0,3445.1489,0.04139268515822508,158816,Fe I,-0.5353614409049672,1.0,0.0,1
3445.7643,3445.7634,,5.0,,,,L11631,3.65369332,,,3445.7643,,158839,Fe I,-0.609,1.0,,1
3446.7866,3446.78575,,5.0,,,,L11631,2.60850194,,,3446.7866,,158860,Fe I,-2.523,1.0,,1
3447.2779,3447.27782,0.0191,5.0,10700000.0,B,T5720,L11631,2.1978664,-1.0199966284162536,10.0,3447.2779,0.04139268515822508,158873,Fe I,-1.0199966284162536,1.0,0.0,1
3448.7813,3448.78058,,5.0,,,,L11631,2.83159117,,,3448.7813,,158903,Fe I,-3.081,1.0,,1
3450.3279,3450.32799,0.0418,3.0,23400000.0,B,T5720,L11631,2.22271209,-0.9017024635053024,10.0,3450.3279,0.04139268515822508,158937,Fe I,-0.9017024635053024,1.0,0.0,1
3451.6132,3451.6134,0.00908,3.0,5080000.0,B,T5720,L11631,2.42419831,-1.5647928967592524,10.0,3451.6132,0.04139268515822508,158969,Fe I,-1.5647928967592524,1.0,0.0,1
3451.9142,3451.91434,0.0336,3.0,11300000.0,B,T5720,L11631,2.22271209,-0.9965394678904936,10.0,3451.9142,0.04139268515822508,158976,Fe I,-0.9965394678904936,1.0,0.0,1
3452.2744,3452.27423,0.00172,7.0,749000.0,B,T5720,L11631,0.95815732,-1.919373513078194,10.0,3452.2744,0.04139268515822508,158983,Fe I,-1.919373513078194,1.0,0.0,1
,3452.54094,9.3e-11,7.0,0.052,D,T6409,,0.05156912,-9.186419011431807,50.0,3452.54094,0.17609125905568124,-1,Fe I,,,,0
