# RYA-398 graded (independent-gf) non-Fe EW line-pool curation — Ti
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
#   GRADE gf not in ACCEPTED_GF_TIERS {HIGH,MED} — i.e. Kurucz-theoretical (K03-K10/KP) or unreferenced gf (RYA-398 independent-gf cull)
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (LOW tier).
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Ti,I,6092.7918,81.04,44.01,0.5430651530108588,-4.876116905520151,-1.38,1.887,,2013ApJS..,MED,3.7098294749745705e-05,6.927,"SAT,HIERR",False,
Ti,I,6149.7245,89.03,130.87,1.4699539481073796,-4.839319286983052,-1.44,2.16,,LGWSC,MED,7.463657870719339e-07,7.488,"SAT,HIERR",False,
Ti,I,6174.75123,87.76,34.72,0.3956244302643573,-4.8473228507473,-1.435,2.662,,K10,LOW,0.0017304249754628203,7.85,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,6212.21089,55.96,22.21,0.3968906361686919,-5.04536848476678,-0.566,3.148,,K10,LOW,0.0022081237468155406,6.866,GRADE,False,GF_UNVERIFIED
Ti,I,6220.47471,124.02,21.17,0.1706982744718594,-4.700331801742057,-0.146,2.677,,K10,LOW,4.757328431852146e-06,6.846,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,6258.1016,64.02,13.52,0.211184004998438,-4.990126939810815,-0.39,1.443,,2013ApJS..,MED,0.00016924306022038087,5.158,,True,
Ti,I,6264.8097,96.59,3.26,0.03375090589087897,-4.811975717324189,-2.26,1.739,,LGWSC,MED,0.0,7.991,SAT,False,
Ti,I,6268.525,28.6,101.22,3.539160839160839,-5.340799329117867,-2.26,1.43,,LGWSC,MED,0.00023410987990110063,6.305,HIERR,False,
Ti,I,6303.7565,7.74,9.01,1.1640826873385013,-5.910858468299118,-1.58,1.443,,2013ApJS..,MED,0.0,4.93,HIERR,False,
Ti,I,6312.236,6.16,6.38,1.0357142857142856,-6.010602515613255,-1.55,1.46,,2013ApJS..,MED,2.25602282914108e-05,4.807,HIERR,False,
Ti,I,6312.37977,8.38,4.99,0.5954653937947494,-5.876949100698766,-0.918,3.179,,K10,LOW,0.023127039011009546,6.001,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,6336.0993,204.3,31.01,0.151786588350465,-4.491553608310119,-1.69,1.443,,2013ApJS..,MED,0.00011754956761739778,8.206,SAT,False,
Ti,I,6359.88764,54.08,19.87,0.36741863905325445,-5.070412760111212,-4.07,0.048,,K10,LOW,0.02277183504600076,7.23,GRADE,False,GF_UNVERIFIED
Ti,I,6371.4957,42.38,2.51,0.05922605002359603,-5.177080441971136,-1.94,2.16,,LGWSC,MED,0.050937499691642456,6.998,,True,
Ti,I,6395.4718,15.77,29.42,1.865567533291059,-5.608040894982023,-2.54,1.503,,2013ApJS..,MED,0.10273191666983326,6.298,HIERR,False,
Ti,I,6543.03718,45.42,7.82,0.17217084984588288,-5.158532258246368,-0.31,3.546,,K10,LOW,0.0045883554503392855,6.769,GRADE,False,GF_UNVERIFIED
Ti,I,6544.74929,47.26,139.97,2.9617012272534913,-5.141399297371172,-0.146,3.551,,K10,LOW,0.0,6.646,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,6548.32287,24.73,3.86,0.15608572583906186,-5.422905968123639,0.065,3.559,,K10,LOW,0.0002465344966759063,5.956,GRADE,False,GF_UNVERIFIED
Ti,I,6554.223,13.38,6.12,0.45739910313901344,-5.690065100242853,-1.15,1.443,,2013ApJS..,MED,0.0002750920327255539,4.756,,True,
Ti,I,6554.82929,96.8,23.26,0.24028925619834712,-4.830686028362804,0.253,3.569,,K10,LOW,0.0,7.155,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,6599.10572,78.41,75.3,0.9603366917485014,-4.925113632112318,-2.029,0.9,,1983MNRAS.,MED,2.1875502194557525e-05,6.517,HIERR,False,
Ti,I,6622.62218,14.8,5.58,0.377027027027027,-5.650768263897501,-0.765,3.334,,K10,LOW,2.4198904598620692e-05,6.271,GRADE,False,GF_UNVERIFIED
Ti,I,6665.84924,24.43,16.56,0.677855096193205,-5.435932020122378,-0.03,3.551,,K10,LOW,0.0005309883813208095,6.032,"HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,6716.666,123.69,23.23,0.187808230253052,-4.7348191631302905,-1.37,2.488,,LGWSC,MED,0.0007571978402209426,8.206,SAT,False,
Ti,I,6739.01434,63.63,7.28,0.11441144114411442,-5.024934457275001,-1.585,2.334,,K10,LOW,8.54971464734828e-09,7.22,GRADE,False,GF_UNVERIFIED
Ti,I,6745.5441,28.94,9.03,0.3120248790601244,-5.367518459114794,-1.23,2.236,,LGWSC,MED,0.0,6.053,,True,
Ti,I,6746.333,30.8,9.0,0.2922077922077922,-5.340517057722021,-2.21,1.887,,LGWSC,MED,0.0009952106800755528,6.728,,True,
Ti,I,6861.4452,87.62,8.51,0.0971239443049532,-4.893812350287575,-0.73,2.267,,LGWSC,MED,9.765510442073978e-05,6.736,SAT,False,
Ti,II,4568.32198,196.01,32.92,0.16795061476455284,-4.36747847716231,-3.03,1.224,,RHL,MED,0.04166919883798763,7.775,SAT,False,
Ti,II,4609.2645,10.84,20.5,1.8911439114391144,-5.628602348377023,-3.32,1.18,,WLSC,MED,0.27452437945622415,4.803,HIERR,False,
Ti,II,5185.902,50.89,24.51,0.4816270387109452,-5.008191854606438,-1.41,1.893,,VALD3,MED,2.2561284970650346e-06,4.606,,True,
Ti,II,5188.68713,181.44,53.14,0.29287918871252205,-4.456324446970054,-1.05,1.582,,PTP,MED,0.001642793285610912,5.93,SAT,False,
Ti,II,5211.5303,38.85,7.96,0.20489060489060487,-5.127574243974546,-1.41,2.59,,VALD3,MED,0.0017685881666566741,5.005,,True,
Ti,II,5396.2466,272.48,141.51,0.5193408690546094,-4.296757157411014,-3.18,1.584,,VALD3,MED,0.007353921680598088,8.491,"SAT,HIERR",False,
Ti,II,5418.7678,52.1,13.92,0.2671785028790787,-5.0170628181282035,-2.13,1.582,,VALD3,MED,0.07183239277620776,5.03,,True,
Ti,II,5492.88119,114.03,51.2,0.44900464789967554,-4.682781081091197,-3.31,1.582,,VALD3,MED,0.10704570293289105,7.445,SAT,False,
Ti,II,6513.0443,21.56,46.99,2.1794990723562155,-5.480135275625313,-1.49,4.002,,WLSC,MED,7.695051223088469e-05,5.968,HIERR,False,
Ti,II,6785.21766,20.63,42.86,2.0775569558894813,-5.5170645557869,-1.802,3.124,,K10,LOW,0.0,5.416,"HIERR,GRADE",False,GF_UNVERIFIED
